ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,5MA,10MA,30MA,MACD,MACDsignal,MACDhist,slowk,slowd,slowj,score,Read_count
002770.SZ,20200722,1.78,1.81,1.76,1.8,1.77,0.03,1.6949,340261.14,60729.658,1.808,1.793,2.184666667,-0.314489417,-0.332023293,0.017533875,23.65591398,15.55881395,39.85011404,0.313432971,34382
002770.SZ,20200723,1.77,1.78,1.71,1.75,1.8,-0.05,-2.7778,309523.38,53941.406,1.778,1.793,2.184666667,-0.30742445,-0.327103524,0.019679074,20.43010753,19.35483871,22.58064516,0.316655106,33924
002770.SZ,20200724,1.73,1.84,1.71,1.78,1.75,0.03,1.7143,480385.98,85573.673,1.778,1.793,2.184666667,-0.295992645,-0.320881348,0.024888704,21.7562724,21.9474313,21.3739546,0.292055839,33206
002770.SZ,20200727,1.76,1.78,1.71,1.73,1.78,-0.05,-2.809,256216.51,44503.534,1.778,1.793,2.184666667,-0.28765157,-0.314235393,0.026583823,14.54798885,18.91145626,5.821054029,0.258769971,37643
002770.SZ,20200728,1.73,1.82,1.72,1.82,1.73,0.09,5.2023,502464.63,90103.464,1.778,1.793,2.184666667,-0.270658972,-0.305520109,0.034861136,25.52469136,20.60965087,35.35477234,0.363956289,46119
002770.SZ,20200729,1.8,1.86,1.77,1.81,1.82,-0.01,-0.5495,415877.92,75146.044,1.778,1.793,2.184666667,-0.255058972,-0.295427881,0.040368909,34.41358025,24.82875348,53.58323377,0.307578308,40577
002770.SZ,20200730,1.8,1.83,1.78,1.8,1.81,-0.01,-0.5525,255447.28,45963.452,1.824,1.843,1.889,-0.240727815,-0.284487868,0.043760053,51.94444444,37.29423868,81.24485597,0.240595825,21102
002770.SZ,20200731,1.78,1.82,1.77,1.78,1.8,-0.02,-1.1111,235275.09,42044.699,1.824,1.843,1.889,-0.228351805,-0.273260655,0.04490885,52.22222222,46.19341564,64.27983539,0.300579464,17365
002770.SZ,20200803,1.78,1.83,1.77,1.81,1.78,0.03,1.6854,293136.52,52729.287,1.824,1.843,1.889,-0.213660039,-0.261340532,0.047680493,57.77777778,53.98148148,65.37037037,0.332320851,22013
002770.SZ,20200804,1.8,1.85,1.79,1.83,1.81,0.02,1.105,305126.74,55459.373,1.824,1.843,1.889,-0.198119082,-0.248696242,0.05057716,64.44444444,58.14814815,77.03703704,0.362392465,25335
002770.SZ,20200805,1.82,1.92,1.81,1.9,1.83,0.07,3.8251,485167.48,91526.259,1.824,1.843,1.889,-0.178101306,-0.234577255,0.056475949,79.04761905,67.08994709,102.962963,0.432560584,41427
002770.SZ,20200806,1.88,1.91,1.84,1.88,1.9,-0.02,-1.0526,401347.58,74967.129,1.862,1.843,1.889,-0.16198366,-0.220058536,0.058074876,83.80952381,75.76719577,99.89417989,0.316774741,26537
002770.SZ,20200807,1.87,1.88,1.84,1.85,1.88,-0.03,-1.5957,239290.3,44390.961,1.862,1.843,1.889,-0.14990307,-0.206027443,0.056124373,78.80952381,80.55555556,75.31746032,0.32986016,40050
002770.SZ,20200810,1.86,1.87,1.84,1.86,1.85,0.01,0.5405,204106.8,37875.347,1.862,1.843,1.889,-0.137932202,-0.192408395,0.054476193,68.65079365,77.08994709,51.77248677,0.29806533,31927
002770.SZ,20200811,1.86,1.93,1.82,1.87,1.86,0.01,0.5376,366731.38,68591.308,1.862,1.843,1.889,-0.126183719,-0.17916346,0.05297974,62.5,69.98677249,47.52645503,0.314981439,29293
002770.SZ,20200812,1.85,1.86,1.82,1.85,1.87,-0.02,-1.0695,233620.34,42986.009,1.862,1.843,1.889,-0.117136518,-0.166758071,0.049621553,57.5,62.88359788,46.73280423,0.386944018,21523
002770.SZ,20200813,1.84,1.9,1.83,1.87,1.85,0.02,1.0811,245743.75,46048.91,1.912,1.903,1.889,-0.107117924,-0.154830042,0.047712118,58.33333333,59.44444444,56.11111111,0.303346327,22989
002770.SZ,20200814,1.87,1.92,1.86,1.9,1.87,0.03,1.6043,241852.9,45803.412,1.912,1.903,1.889,-0.095654719,-0.142994977,0.047340258,63.69047619,59.84126984,71.38888889,0.30170449,21358
002770.SZ,20200817,1.9,1.93,1.88,1.92,1.9,0.02,1.0526,243836.86,46459.836,1.912,1.903,1.889,-0.083988051,-0.131193592,0.047205541,77.57936508,66.53439153,99.66931217,0.326461368,23509
002770.SZ,20200818,1.91,1.98,1.9,1.95,1.92,0.03,1.5625,370325.13,72116.522,1.912,1.903,1.889,-0.071497209,-0.119254315,0.047757107,83.82936508,75.03306878,101.4219577,0.369367783,20005
002770.SZ,20200819,1.94,1.95,1.9,1.92,1.95,-0.03,-1.5385,270582.2,52176.28,1.912,1.903,1.889,-0.063289315,-0.108061315,0.044772,78.47222222,79.96031746,75.49603175,0.415768522,19871
002770.SZ,20200820,1.91,1.93,1.89,1.89,1.92,-0.03,-1.5625,169223.08,32247.7,1.894,1.903,1.889,-0.058530546,-0.098155162,0.039624615,62.5,74.93386243,37.63227513,0.402206555,15606
002770.SZ,20200821,1.9,1.97,1.89,1.94,1.89,0.05,2.6455,302505.51,58668.154,1.894,1.903,1.889,-0.050146547,-0.088553439,0.038406891,60.41666667,67.12962963,46.99074074,0.374839098,25193
002770.SZ,20200824,1.93,1.94,1.9,1.92,1.94,-0.02,-1.0309,225014.34,43216.59,1.894,1.903,1.889,-0.044601858,-0.079763123,0.035161265,60.41666667,61.11111111,59.02777778,0.365075858,19891
002770.SZ,20200825,1.92,1.93,1.87,1.89,1.92,-0.03,-1.5625,266010.9,50381.616,1.894,1.903,1.889,-0.042142607,-0.07223902,0.030096412,59.16666667,60,57.5,0.309929162,27673
002770.SZ,20200826,1.87,1.89,1.8,1.83,1.89,-0.06,-3.1746,230675.88,42581.731,1.894,1.903,1.889,-0.044521911,-0.066695598,0.022173687,39.72222222,53.10185185,12.96296296,0.247936439,26343
002770.SZ,20200827,1.8,1.84,1.78,1.83,1.83,0,0,213477.62,38643.808,1.892,1.921,1.889,-0.045878666,-0.062532212,0.016653546,27.22222222,42.03703704,-2.407407407,0.353267515,23140
002770.SZ,20200828,1.82,1.92,1.81,1.92,1.83,0.09,4.918,493441.57,93439.949,1.892,1.921,1.889,-0.03923933,-0.057873635,0.018634306,37.22222222,34.72222222,42.22222222,0.456124329,31576
002770.SZ,20200831,1.91,1.93,1.87,1.89,1.92,-0.03,-1.5625,313876.58,59403.585,1.892,1.921,1.889,-0.035983561,-0.05349562,0.01751206,50.96491228,38.46978558,75.95516569,0.321893448,26833
002770.SZ,20200901,1.89,1.94,1.87,1.92,1.89,0.03,1.5873,248889.83,47451.359,1.892,1.921,1.889,-0.030629513,-0.048922399,0.018292886,67.19298246,51.79337232,97.99220273,0.368104121,17472
002770.SZ,20200902,1.91,1.93,1.89,1.9,1.92,-0.02,-1.0417,179896.7,34257.844,1.892,1.921,1.889,-0.027681134,-0.044674146,0.016993012,64.9122807,61.02339181,72.69005848,0.331855831,19294
002770.SZ,20200903,1.9,1.96,1.89,1.93,1.9,0.03,1.5789,303988.92,58387.792,1.95,1.921,1.889,-0.022662533,-0.040271823,0.01760929,73.39181287,68.49902534,83.17738791,0.331985704,23259
002770.SZ,20200904,1.92,2.02,1.9,2,1.93,0.07,3.6269,482796.24,95583.116,1.95,1.921,1.889,-0.012888273,-0.034795113,0.02190684,79.38596491,72.56335283,93.03118908,0.371928953,33900
002770.SZ,20200907,2.01,2.02,1.93,1.94,2,-0.06,-3,380309.2,74605.901,1.95,1.921,1.889,-0.009869827,-0.029810056,0.019940229,80.55555556,77.77777778,86.11111111,0.160745348,70918
002770.SZ,20200908,1.94,1.97,1.93,1.96,1.94,0.02,1.0309,230513.9,45025.53,1.95,1.921,1.889,-0.005797029,-0.025007451,0.019210422,77.77777778,79.23976608,74.85380117,0.384422637,14079
002770.SZ,20200909,1.95,1.96,1.91,1.92,1.96,-0.04,-2.0408,289554.68,55797.329,1.95,1.921,1.889,-0.005730911,-0.021152143,0.015421232,64.68253968,74.33862434,45.37037037,0.387433739,19553
002770.SZ,20200910,1.92,1.94,1.82,1.83,1.92,-0.09,-4.6875,314432.17,59350.699,1.84,1.832,1.775666667,-0.012793286,-0.019480371,0.006687085,44.12698413,62.1957672,7.989417989,0.256746716,14220
002770.SZ,20200911,1.79,1.84,1.77,1.84,1.83,0.01,0.5464,178561.94,32200.562,1.84,1.832,1.775666667,-0.017382973,-0.019060892,0.001677918,28.46031746,45.75661376,-6.132275132,0.290175655,18579
002770.SZ,20200914,1.83,1.91,1.82,1.86,1.84,0.02,1.087,180381.9,33709.295,1.84,1.832,1.775666667,-0.019185344,-0.019085782,-9.96E-05,23,31.86243386,5.275132275,0.275034311,22465
002770.SZ,20200915,1.86,1.87,1.82,1.85,1.86,-0.01,-0.5376,130966.19,24113.472,1.84,1.832,1.775666667,-0.021176542,-0.019503934,-0.001672608,32,27.82010582,40.35978836,0.425174755,32890
002770.SZ,20200916,1.84,1.84,1.81,1.82,1.85,-0.03,-1.6216,119237.4,21723.434,1.84,1.832,1.775666667,-0.024888432,-0.020580834,-0.004307598,29.33333333,28.11111111,31.77777778,0.370444625,19666
002770.SZ,20200917,1.82,1.84,1.79,1.83,1.82,0.01,0.5495,115481.99,20947.27,1.824,1.832,1.775666667,-0.026715258,-0.021807718,-0.004907539,25.33333333,28.88888889,18.22222222,0.525697423,31816
002770.SZ,20200918,1.82,1.84,1.8,1.83,1.83,0,0,114208.82,20809.837,1.824,1.832,1.775666667,-0.027842084,-0.023014592,-0.004827493,24.66666667,26.44444444,21.11111111,0.366283445,19674
002770.SZ,20200921,1.83,1.84,1.82,1.84,1.83,0.01,0.5464,82122.4,15030.955,1.824,1.832,1.775666667,-0.027609916,-0.023933657,-0.00367626,30.28070175,26.76023392,37.32163743,0.295851184,17859
002770.SZ,20200922,1.83,1.83,1.8,1.81,1.84,-0.03,-1.6304,91428.68,16615.042,1.824,1.832,1.775666667,-0.029506537,-0.025048233,-0.004458305,30.12383901,28.35706914,33.65737874,0.334079978,12601
002770.SZ,20200923,1.81,1.83,1.8,1.81,1.81,0,0,67202.9,12166.542,1.824,1.832,1.775666667,-0.030656238,-0.026169834,-0.004486404,29.64764853,30.01739643,28.90815273,0.357967142,22993
002770.SZ,20200924,1.8,1.81,1.73,1.74,1.81,-0.07,-3.8674,166838.1,29324.874,1.736,1.75,1.775666667,-0.036791686,-0.028294204,-0.008497482,19.21879863,26.33009539,4.99620511,0.290891749,22978
002770.SZ,20200925,1.75,1.77,1.74,1.76,1.74,0.02,1.1494,86353.9,15130.993,1.736,1.75,1.775666667,-0.039583942,-0.030552152,-0.00903179,18.51851852,22.46165523,10.6322451,0.354291867,10255
002770.SZ,20200928,1.75,1.76,1.72,1.72,1.76,-0.04,-2.2727,87093.3,15084.041,1.736,1.75,1.775666667,-0.044511391,-0.033344,-0.011167391,8.994708995,15.57734205,-4.170557112,0.431301288,9316
002770.SZ,20200929,1.72,1.74,1.71,1.73,1.72,0.01,0.5814,65348.1,11294.93,1.736,1.75,1.775666667,-0.047066954,-0.036088591,-0.010978364,12.27106227,13.26142993,10.29032696,0.36037619,10424
002770.SZ,20200930,1.73,1.74,1.71,1.73,1.73,0,0,57298.5,9886.565,1.736,1.75,1.775666667,-0.048532801,-0.038577433,-0.009955368,10.25641026,10.50739384,9.754443088,0.354803458,9485
002770.SZ,20201009,1.74,1.76,1.73,1.75,1.73,0.02,1.1561,80742.8,14127.807,1.764,1.75,1.775666667,-0.047532735,-0.040368493,-0.007164241,20.51282051,14.34676435,32.84493284,0.209081128,10677
002770.SZ,20201012,1.75,1.79,1.74,1.78,1.75,0.03,1.7143,104931,18599.468,1.764,1.75,1.775666667,-0.043814361,-0.041057667,-0.002756694,34.82905983,21.86609687,60.75498575,0.426960053,31026
002770.SZ,20201013,1.77,1.79,1.77,1.78,1.78,0,0,78437.5,13922.52,1.764,1.75,1.775666667,-0.040401796,-0.040926492,0.000524697,49.14529915,34.82905983,77.77777778,0.330223339,12880
002770.SZ,20201014,1.78,1.78,1.74,1.75,1.78,-0.03,-1.6854,81867.5,14361.201,1.764,1.75,1.775666667,-0.039660877,-0.040673369,0.001012492,52.22222222,45.3988604,65.86894587,0.324445382,12906
002770.SZ,20201015,1.75,1.78,1.74,1.76,1.75,0.01,0.5714,106171.8,18641.627,1.764,1.75,1.775666667,-0.037830688,-0.040104833,0.002274145,53.61111111,51.65954416,57.51424501,0.412333844,14673
002770.SZ,20201016,1.76,1.78,1.75,1.76,1.76,0,0,71089.7,12526.993,1.748,1.745,1.775666667,-0.035965661,-0.039276999,0.003311338,55,53.61111111,57.77777778,0.486399631,8934
002770.SZ,20201019,1.77,1.77,1.74,1.74,1.76,-0.02,-1.1364,63613.4,11159.682,1.748,1.745,1.775666667,-0.035690034,-0.038559606,0.002869572,54.16666667,54.25925926,53.98148148,0.357179679,10457
002770.SZ,20201020,1.74,1.77,1.73,1.76,1.74,0.02,1.1494,60638.5,10617.466,1.748,1.745,1.775666667,-0.033471921,-0.037542069,0.004070148,54.16666667,54.44444444,53.61111111,0.379458626,9083
002770.SZ,20201021,1.75,1.76,1.74,1.74,1.76,-0.02,-1.1364,60493,10554.462,1.748,1.745,1.775666667,-0.032948078,-0.036623271,0.003675192,38.88888889,49.07407407,18.51851852,0.30929041,9896
002770.SZ,20201022,1.74,1.74,1.73,1.74,1.74,0,0,49082.78,8505.176,1.748,1.745,1.775666667,-0.032162183,-0.035731053,0.00356887,31.94444444,41.66666667,12.5,0.382688459,12261
002770.SZ,20201023,1.73,1.74,1.71,1.72,1.74,-0.02,-1.1494,71413.1,12306.505,1.742,1.745,1.775666667,-0.032775375,-0.035139918,0.002364542,15.27777778,28.7037037,-11.57407407,0.302713666,10610
002770.SZ,20201026,1.71,1.74,1.71,1.74,1.72,0.02,1.1628,59471.52,10273.925,1.742,1.745,1.775666667,-0.031286846,-0.034369303,0.003082457,24.00793651,23.74338624,24.53703704,0.344985475,6327
002770.SZ,20201027,1.73,1.74,1.72,1.73,1.74,-0.01,-0.5747,45449.1,7852.372,1.742,1.745,1.775666667,-0.030561794,-0.033607801,0.003046007,27.97619048,22.42063492,39.08730159,0.315990546,8303
002770.SZ,20201028,1.73,1.78,1.71,1.77,1.73,0.04,2.3121,157716.18,27572.346,1.742,1.745,1.775666667,-0.026454569,-0.032177155,0.005722586,52.38095238,34.78835979,87.56613757,0.346628817,12118
002770.SZ,20201029,1.75,1.76,1.73,1.75,1.77,-0.02,-1.1299,84804.93,14791.427,1.742,1.745,1.775666667,-0.024530622,-0.030647848,0.006117226,57.14285714,45.83333333,79.76190476,0.334674581,14391
002770.SZ,20201030,1.8,1.84,1.8,1.84,1.75,0.09,5.1429,404116.69,74267.199,1.84,1.925,1.986666667,-0.015564218,-0.027631122,0.012066905,80.95238095,63.49206349,115.8730159,0.371572284,36921
002770.SZ,20201102,1.89,1.89,1.79,1.84,1.84,0,0,343609.4,63236.469,1.84,1.925,1.986666667,-0.008361887,-0.023777275,0.015415388,76.45502646,71.51675485,86.33156966,0.318611526,27546
002770.SZ,20201103,1.81,1.85,1.8,1.83,1.84,-0.01,-0.5435,212096.7,38798.661,1.84,1.925,1.986666667,-0.003421464,-0.019706113,0.016284649,79.62962963,79.01234568,80.86419753,0.337960317,25283
002770.SZ,20201104,1.83,1.84,1.8,1.8,1.83,-0.03,-1.6393,154540.5,28043.116,1.84,1.925,1.986666667,-0.001904934,-0.016145877,0.014240943,62.96296296,73.01587302,42.85714286,0.322149487,20361
002770.SZ,20201105,1.81,1.89,1.81,1.89,1.8,0.09,5,327243.35,61096.96,1.84,1.925,1.986666667,0.006484427,-0.011619816,0.018104243,72.22222222,71.60493827,73.45679012,0.348502146,36624
002770.SZ,20201106,1.93,1.98,1.89,1.98,1.89,0.09,4.7619,450037.6,87959.876,2.01,1.925,1.986666667,0.020162879,-0.005263277,0.025426156,83.33333333,72.83950617,104.3209877,0.36637075,42834
002770.SZ,20201109,2.03,2.08,1.95,1.96,1.98,-0.02,-1.0101,660896.8,132401.894,2.01,1.925,1.986666667,0.029054396,0.001600257,0.027454139,89.18918919,81.58158158,104.4044044,0.355750223,53260
002770.SZ,20201110,1.94,2,1.92,1.97,1.96,0.01,0.5102,301154.9,59082.05,2.01,1.925,1.986666667,0.036487301,0.008577666,0.027909635,78.71299871,83.74517375,68.64864865,0.455397524,19264
002770.SZ,20201111,1.96,2.07,1.93,2.02,1.97,0.05,2.5381,394419.61,79562.621,2.01,1.925,1.986666667,0.045883597,0.016038852,0.029844745,71.81644699,79.90621163,55.63691771,0.390456675,32916
002770.SZ,20201112,2,2.12,2,2.12,2.02,0.1,4.9505,474936.82,99207.15,2.01,1.925,1.986666667,0.060699685,0.024971019,0.035728666,82.6272578,77.71890117,92.44397106,0.42343696,44989
002770.SZ,20201113,2.15,2.2,2.06,2.1,2.12,-0.02,-0.9434,543540.6,115400.719,2.114,2.057,1.986666667,0.070020555,0.033980926,0.036039629,84.77011494,79.73793991,94.83446501,0.376461923,34740
002770.SZ,20201116,2.08,2.21,2.06,2.18,2.1,0.08,3.8095,535356.55,113433.137,2.114,2.057,1.986666667,0.082907043,0.043766149,0.039140893,89.22764228,85.54167167,96.59958348,0.468309536,46612
002770.SZ,20201117,2.15,2.22,2.13,2.15,2.18,-0.03,-1.3761,330549.68,71741.54,2.114,2.057,1.986666667,0.089665321,0.052945984,0.036719338,83.53658537,85.84478086,78.92019437,0.365113313,28920
002770.SZ,20201118,2.13,2.16,2.05,2.07,2.15,-0.08,-3.7209,458276.1,95963.392,2.114,2.057,1.986666667,0.087556676,0.059868122,0.027688554,76.71840355,83.16087706,63.83345652,0.316278823,44444
002770.SZ,20201119,2.06,2.1,2.02,2.07,2.07,0,0,228972.2,47258.503,2.114,2.057,1.986666667,0.084906806,0.064875859,0.020030947,62.49076127,74.24858339,38.97511702,0.355491619,31847
002770.SZ,20201120,2.06,2.07,2.04,2.06,2.07,-0.01,-0.4831,178595.7,36625.084,2,2.057,1.986666667,0.081065378,0.068113763,0.012951615,50.4040404,63.20440174,24.80331773,0.374921347,23474
002770.SZ,20201123,2.06,2.09,2.01,2.02,2.06,-0.04,-1.9417,267324.9,54525.133,2,2.057,1.986666667,0.073941007,0.069279212,0.004661795,42.56704981,51.82061716,24.0599151,0.349843135,39664
002770.SZ,20201124,2.02,2.05,2,2.01,2.02,-0.01,-0.495,162256.4,32676.684,2,2.057,1.986666667,0.066718881,0.068767145,-0.002048265,27.41553466,40.12887496,1.988854058,0.264955537,29526
