trade_date,score,Read_count
20200602,0.371800894,40482
20200603,0.313580172,61730
20200604,0.373921951,64092
20200605,0.312162159,58991
20200606,0.430873122,19927
20200607,0.421617633,12936
20200608,0.280698142,28518
20200609,0.394461911,44099
20200610,0.258918616,34406
20200611,0.303317177,26413
20200612,0.308969813,33544
20200613,0.374584902,8200
20200614,0.36814466,5777
20200615,0.285743017,23723
20200616,0.259540809,27227
20200617,0.31869488,48266
20200618,0.319088333,30435
20200619,0.287132501,23655
20200620,0.355505271,5616
20200621,0.356166186,7772
20200622,0.311716721,25375
20200623,0.232745096,18004
20200624,0.227018597,97560
20200625,0.22441469,25950
20200626,0.178043731,24934
20200627,0.153276669,37833
20200628,0.246720479,48626
20200629,0.276329777,98264
20200630,0.245989862,69449
20200701,0.230516675,66537
20200702,0.266819995,65647
20200703,0.202306611,75598
20200704,0.235005176,28999
20200705,0.309477434,23460
20200706,0.277988318,72117
20200707,0.354832965,73894
20200708,0.293804127,70099
20200709,0.314692523,60535
20200710,0.311160499,34561
20200711,0.398037312,6853
20200712,0.367869642,15597
20200713,0.253639639,5101
20200714,0.31730983,14975
20200715,0.22897056,12242
20200716,0.319919777,21788
20200717,0.310444497,44920
20200718,0.301216135,19907
20200719,0.34882757,22361
20200720,0.254462401,60481
20200721,0.287683088,53659
20200722,0.313432971,34382
20200723,0.316655106,33924
20200724,0.292055839,33206
20200725,0.126439281,16998
20200726,0.376406918,9425
20200727,0.258769971,37643
20200728,0.363956289,46119
20200729,0.307578308,40577
20200730,0.240595825,21102
20200731,0.300579464,17365
20200801,0.387268843,7565
20200802,0.283603849,11717
20200803,0.332320851,22013
20200804,0.362392465,25335
20200805,0.432560584,41427
20200806,0.316774741,26537
20200807,0.32986016,40050
20200808,0.176892907,43395
20200809,0.280113745,22147
20200810,0.29806533,31927
20200811,0.314981439,29293
20200812,0.386944018,21523
20200813,0.303346327,22989
20200814,0.30170449,21358
20200815,0.478897031,10845
20200816,0.440921972,8711
20200817,0.326461368,23509
20200818,0.369367783,20005
20200819,0.415768522,19871
20200820,0.402206555,15606
20200821,0.374839098,25193
20200822,0.23932516,8148
20200823,0.324875441,5334
20200824,0.365075858,19891
20200825,0.309929162,27673
20200826,0.247936439,26343
20200827,0.353267515,23140
20200828,0.456124329,31576
20200829,0.366279439,8949
20200830,0.371934924,9240
20200831,0.321893448,26833
20200901,0.368104121,17472
20200902,0.331855831,19294
20200903,0.331985704,23259
20200904,0.371928953,33900
20200905,0.382258664,10042
20200906,0.37187942,8479
20200907,0.160745348,70918
20200908,0.384422637,14079
20200909,0.387433739,19553
20200910,0.256746716,14220
20200911,0.290175655,18579
20200912,0.332261419,4370
20200913,0.303480187,6188
20200914,0.275034311,22465
20200915,0.425174755,32890
20200916,0.370444625,19666
20200917,0.525697423,31816
20200918,0.366283445,19674
20200919,0.449714345,4343
20200920,0.299101497,2538
20200921,0.295851184,17859
20200922,0.334079978,12601
20200923,0.357967142,22993
20200924,0.290891749,22978
20200925,0.354291867,10255
20200926,0.171802774,3316
20200927,0.394600576,5385
20200928,0.431301288,9316
20200929,0.36037619,10424
20200930,0.354803458,9485
20201001,0.3310891,2055
20201003,0.326008839,3530
20201004,0.271683394,3559
20201005,0.65435427,2178
20201006,0.302176478,4009
20201007,0.299593341,2718
20201008,0.44700989,1820
20201009,0.209081128,10677
20201010,0.265007494,3069
20201011,0.265755837,5799
20201012,0.426960053,31026
20201013,0.330223339,12880
20201014,0.324445382,12906
20201015,0.412333844,14673
20201016,0.486399631,8934
20201017,0.471819747,6558
20201018,0.141854113,3258
20201019,0.357179679,10457
20201020,0.379458626,9083
20201021,0.30929041,9896
20201022,0.382688459,12261
20201023,0.302713666,10610
20201024,0.350001182,2030
20201025,0.308226833,6425
20201026,0.344985475,6327
20201027,0.315990546,8303
20201028,0.346628817,12118
20201029,0.334674581,14391
20201030,0.371572284,36921
20201031,0.24355988,13497
20201101,0.233764111,12820
20201102,0.318611526,27546
20201103,0.337960317,25283
20201104,0.322149487,20361
20201105,0.348502146,36624
20201106,0.36637075,42834
20201107,0.538918394,11645
20201108,0.506956913,10994
20201109,0.355750223,53260
20201110,0.455397524,19264
20201111,0.390456675,32916
20201112,0.42343696,44989
20201113,0.376461923,34740
20201114,0.44259754,8253
20201115,0.412034402,22766
20201116,0.468309536,46612
20201117,0.365113313,28920
20201118,0.316278823,44444
20201119,0.355491619,31847
20201120,0.374921347,23474
20201121,0.308327529,15264
20201122,0.344295265,8511
20201123,0.349843135,39664
20201124,0.264955537,29526
20201125,0.284618559,36709
20201126,0.374506558,21577
20201127,0.271257804,36364
20201128,0.386328389,7848
20201129,0.421345007,17626
20201130,0.410537848,13060
20201201,0.306001393,19671
20201202,0.295258605,25300
20201203,0.301279088,17067
20201204,0.320594646,15446
20201205,0.362483837,10301
20201206,0.252793937,7307
20201207,0.348993879,26859
20201208,0.373965844,27023
20201209,0.185104021,22605
20201210,0.311664131,13120
20201211,0.518123855,21647
20201212,0.437485316,4338
