ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002770.SZ,20201210,1.92,1.94,1.88,1.92,1.91,0.01,0.5236,110278.23,21081.84
002770.SZ,20201209,1.96,1.96,1.91,1.91,1.96,-0.05,-2.551,146461.88,28288.711
002770.SZ,20201208,1.97,1.98,1.95,1.96,1.98,-0.02,-1.0101,108030.7,21202.993
002770.SZ,20201207,2.0,2.01,1.97,1.98,2.01,-0.03,-1.4925,120557.0,23970.49
002770.SZ,20201204,1.98,2.03,1.96,2.01,1.98,0.03,1.5152,157001.2,31312.965
002770.SZ,20201203,1.99,1.99,1.96,1.98,1.99,-0.01,-0.5025,101467.57,20051.102
002770.SZ,20201202,2.01,2.03,1.96,1.99,2.01,-0.02,-0.995,171114.33,34010.247
002770.SZ,20201201,2.01,2.04,1.99,2.01,2.0,0.01,0.5,107800.1,21736.165
002770.SZ,20201130,2.01,2.04,1.99,2.0,2.02,-0.02,-0.9901,142781.28,28687.904
002770.SZ,20201127,1.97,2.03,1.96,2.02,1.97,0.05,2.5381,235749.48,47159.472
002770.SZ,20201126,1.93,2.01,1.9,1.97,1.94,0.03,1.5464,246932.9,48327.183
002770.SZ,20201125,1.93,1.98,1.92,1.94,2.01,-0.07,-3.4826,329186.1,64166.061
002770.SZ,20201124,2.02,2.05,2.0,2.01,2.02,-0.01,-0.495,162256.4,32676.684
002770.SZ,20201123,2.06,2.09,2.01,2.02,2.06,-0.04,-1.9417,267324.9,54525.133
002770.SZ,20201120,2.06,2.07,2.04,2.06,2.07,-0.01,-0.4831,178595.7,36625.084
002770.SZ,20201119,2.06,2.1,2.02,2.07,2.07,0.0,0.0,228972.2,47258.503
002770.SZ,20201118,2.13,2.16,2.05,2.07,2.15,-0.08,-3.7209,458276.1,95963.392
002770.SZ,20201117,2.15,2.22,2.13,2.15,2.18,-0.03,-1.3761,330549.68,71741.54
002770.SZ,20201116,2.08,2.21,2.06,2.18,2.1,0.08,3.8095,535356.55,113433.137
002770.SZ,20201113,2.15,2.2,2.06,2.1,2.12,-0.02,-0.9434,543540.6,115400.719
002770.SZ,20201112,2.0,2.12,2.0,2.12,2.02,0.1,4.9505,474936.82,99207.15
002770.SZ,20201111,1.96,2.07,1.93,2.02,1.97,0.05,2.5381,394419.61,79562.621
002770.SZ,20201110,1.94,2.0,1.92,1.97,1.96,0.01,0.5102,301154.9,59082.05
002770.SZ,20201109,2.03,2.08,1.95,1.96,1.98,-0.02,-1.0101,660896.8,132401.894
002770.SZ,20201106,1.93,1.98,1.89,1.98,1.89,0.09,4.7619,450037.6,87959.876
002770.SZ,20201105,1.81,1.89,1.81,1.89,1.8,0.09,5.0,327243.35,61096.96
002770.SZ,20201104,1.83,1.84,1.8,1.8,1.83,-0.03,-1.6393,154540.5,28043.116
002770.SZ,20201103,1.81,1.85,1.8,1.83,1.84,-0.01,-0.5435,212096.7,38798.661
002770.SZ,20201102,1.89,1.89,1.79,1.84,1.84,0.0,0.0,343609.4,63236.469
002770.SZ,20201030,1.8,1.84,1.8,1.84,1.75,0.09,5.1429,404116.69,74267.199
002770.SZ,20201029,1.75,1.76,1.73,1.75,1.77,-0.02,-1.1299,84804.93,14791.427
002770.SZ,20201028,1.73,1.78,1.71,1.77,1.73,0.04,2.3121,157716.18,27572.346
002770.SZ,20201027,1.73,1.74,1.72,1.73,1.74,-0.01,-0.5747,45449.1,7852.372
002770.SZ,20201026,1.71,1.74,1.71,1.74,1.72,0.02,1.1628,59471.52,10273.925
002770.SZ,20201023,1.73,1.74,1.71,1.72,1.74,-0.02,-1.1494,71413.1,12306.505
002770.SZ,20201022,1.74,1.74,1.73,1.74,1.74,0.0,0.0,49082.78,8505.176
002770.SZ,20201021,1.75,1.76,1.74,1.74,1.76,-0.02,-1.1364,60493.0,10554.462
002770.SZ,20201020,1.74,1.77,1.73,1.76,1.74,0.02,1.1494,60638.5,10617.466
002770.SZ,20201019,1.77,1.77,1.74,1.74,1.76,-0.02,-1.1364,63613.4,11159.682
002770.SZ,20201016,1.76,1.78,1.75,1.76,1.76,0.0,0.0,71089.7,12526.993
002770.SZ,20201015,1.75,1.78,1.74,1.76,1.75,0.01,0.5714,106171.8,18641.627
002770.SZ,20201014,1.78,1.78,1.74,1.75,1.78,-0.03,-1.6854,81867.5,14361.201
002770.SZ,20201013,1.77,1.79,1.77,1.78,1.78,0.0,0.0,78437.5,13922.52
002770.SZ,20201012,1.75,1.79,1.74,1.78,1.75,0.03,1.7143,104931.0,18599.468
002770.SZ,20201009,1.74,1.76,1.73,1.75,1.73,0.02,1.1561,80742.8,14127.807
002770.SZ,20200930,1.73,1.74,1.71,1.73,1.73,0.0,0.0,57298.5,9886.565
002770.SZ,20200929,1.72,1.74,1.71,1.73,1.72,0.01,0.5814,65348.1,11294.93
002770.SZ,20200928,1.75,1.76,1.72,1.72,1.76,-0.04,-2.2727,87093.3,15084.041
002770.SZ,20200925,1.75,1.77,1.74,1.76,1.74,0.02,1.1494,86353.9,15130.993
002770.SZ,20200924,1.8,1.81,1.73,1.74,1.81,-0.07,-3.8674,166838.1,29324.874
002770.SZ,20200923,1.81,1.83,1.8,1.81,1.81,0.0,0.0,67202.9,12166.542
002770.SZ,20200922,1.83,1.83,1.8,1.81,1.84,-0.03,-1.6304,91428.68,16615.042
002770.SZ,20200921,1.83,1.84,1.82,1.84,1.83,0.01,0.5464,82122.4,15030.955
002770.SZ,20200918,1.82,1.84,1.8,1.83,1.83,0.0,0.0,114208.82,20809.837
002770.SZ,20200917,1.82,1.84,1.79,1.83,1.82,0.01,0.5495,115481.99,20947.27
002770.SZ,20200916,1.84,1.84,1.81,1.82,1.85,-0.03,-1.6216,119237.4,21723.434
002770.SZ,20200915,1.86,1.87,1.82,1.85,1.86,-0.01,-0.5376,130966.19,24113.472
002770.SZ,20200914,1.83,1.91,1.82,1.86,1.84,0.02,1.087,180381.9,33709.295
