ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,5MA,10MA,30MA,MACD,MACDsignal,MACDhist
002770.SZ,20200602,3.13,3.24,3.07,3.15,3.23,-0.08,-2.4768,1398070.52,436801.17,3.15,3.15,3.15,,,
002770.SZ,20200603,3.1,3.14,3.01,3.03,3.15,-0.12,-3.8095,945891.87,288598.881,3.03,3.03,3.03,,,
002770.SZ,20200604,3.03,3.13,2.96,3.02,3.03,-0.01,-0.33,797928.57,243000.55800000002,3.02,3.02,3.02,,,
002770.SZ,20200605,2.96,2.99,2.86,2.89,3.02,-0.13,-4.3046,765380.1,222448.268,2.89,2.89,2.89,,,
002770.SZ,20200608,2.92,2.93,2.84,2.85,2.89,-0.04,-1.3841,410934.7,117844.472,2.864,2.85,2.85,,,
002770.SZ,20200609,2.84,2.99,2.78,2.96,2.85,0.11,3.8596,753326.32,218458.078,2.864,2.96,2.96,,,
002770.SZ,20200610,2.93,2.99,2.88,2.9,2.96,-0.06,-2.0269999999999997,517033.22,151030.552,2.864,2.9,2.9,,,
002770.SZ,20200611,2.89,2.89,2.81,2.83,2.9,-0.07,-2.4138,406948.2,115740.105,2.864,2.83,2.83,,,
002770.SZ,20200612,2.78,2.83,2.72,2.78,2.83,-0.05,-1.7668,327857.9,91128.90400000001,2.864,2.78,2.78,,,
002770.SZ,20200615,2.77,2.87,2.77,2.82,2.78,0.04,1.4388,383321.9,108219.433,2.886,2.7390000000000003,2.1846666666666663,,,
002770.SZ,20200616,2.82,2.84,2.78,2.81,2.82,-0.01,-0.3546,311262.3,87061.957,2.886,2.7390000000000003,2.1846666666666663,,,
002770.SZ,20200617,2.8,3.08,2.72,2.99,2.81,0.18,6.4057,1073782.28,310698.392,2.886,2.7390000000000003,2.1846666666666663,,,
002770.SZ,20200618,2.91,3.02,2.89,2.94,2.99,-0.05,-1.6722,599484.81,176566.503,2.886,2.7390000000000003,2.1846666666666663,,,
002770.SZ,20200619,2.94,2.95,2.85,2.87,2.94,-0.07,-2.381,433077.87,124895.554,2.886,2.7390000000000003,2.1846666666666663,,,
002770.SZ,20200622,2.87,2.87,2.78,2.8,2.87,-0.07,-2.439,370674.7,104090.34,2.592,2.7390000000000003,2.1846666666666663,,,
002770.SZ,20200623,2.77,2.83,2.74,2.74,2.8,-0.06,-2.1429,344161.9,95308.39199999999,2.592,2.7390000000000003,2.1846666666666663,,,
002770.SZ,20200629,2.6,2.6,2.6,2.6,2.74,-0.14,-5.1095,12775.0,3321.5,2.592,2.7390000000000003,2.1846666666666663,,,
002770.SZ,20200630,2.47,2.47,2.47,2.47,2.6,-0.13,-5.0,17704.0,4372.888,2.592,2.7390000000000003,2.1846666666666663,,,
002770.SZ,20200701,2.35,2.35,2.35,2.35,2.47,-0.12,-4.8583,10007.0,2351.645,2.592,2.7390000000000003,2.1846666666666663,,,
002770.SZ,20200702,2.23,2.23,2.23,2.23,2.35,-0.12,-5.1064,20966.0,4675.418,2.0759999999999996,2.0220000000000002,2.1846666666666663,,,
002770.SZ,20200703,2.12,2.12,2.12,2.12,2.23,-0.11,-4.9327,25133.0,5328.196,2.0759999999999996,2.0220000000000002,2.1846666666666663,,,
002770.SZ,20200706,2.01,2.01,2.01,2.01,2.12,-0.11,-5.1887,126438.0,25414.037999999997,2.0759999999999996,2.0220000000000002,2.1846666666666663,,,
002770.SZ,20200707,1.92,2.1,1.92,2.06,2.01,0.05,2.4876,1330423.15,268158.581,2.0759999999999996,2.0220000000000002,2.1846666666666663,,,
002770.SZ,20200708,1.96,2.01,1.96,1.96,2.06,-0.1,-4.8544,876970.45,172483.86,2.0759999999999996,2.0220000000000002,2.1846666666666663,,,
002770.SZ,20200709,1.94,1.97,1.92,1.96,1.96,0.0,0.0,754750.94,146709.707,1.968,2.0220000000000002,2.1846666666666663,,,
002770.SZ,20200710,1.95,1.99,1.93,1.97,1.96,0.01,0.5102,514325.7,100912.865,1.968,2.0220000000000002,2.1846666666666663,,,
002770.SZ,20200713,1.96,2.02,1.93,2.01,1.97,0.04,2.0305,633668.56,125245.33099999999,1.968,2.0220000000000002,2.1846666666666663,,,
002770.SZ,20200714,2.0,2.01,1.95,1.97,2.01,-0.04,-1.99,451399.9,89256.44900000001,1.968,2.0220000000000002,2.1846666666666663,,,
002770.SZ,20200715,1.97,1.98,1.92,1.93,1.97,-0.04,-2.0305,357941.84,69545.101,1.968,2.0220000000000002,2.1846666666666663,,,
002770.SZ,20200716,1.92,1.95,1.88,1.89,1.93,-0.04,-2.0725,335402.54,64407.882000000005,1.8080000000000003,1.793,2.1846666666666663,,,
002770.SZ,20200717,1.89,1.91,1.8,1.8,1.89,-0.09,-4.7619,500048.85,91102.748,1.8080000000000003,1.793,2.1846666666666663,,,
002770.SZ,20200720,1.77,1.8,1.71,1.78,1.8,-0.02,-1.1111,489793.34,85181.868,1.8080000000000003,1.793,2.1846666666666663,,,
002770.SZ,20200721,1.76,1.77,1.71,1.77,1.78,-0.01,-0.5618,326091.9,56927.377,1.8080000000000003,1.793,2.1846666666666663,,,
002770.SZ,20200722,1.78,1.81,1.76,1.8,1.77,0.03,1.6949,340261.14,60729.657999999996,1.8080000000000003,1.793,2.1846666666666663,-0.3144894173731083,-0.3320232927393807,0.017533875366272378
002770.SZ,20200723,1.77,1.78,1.71,1.75,1.8,-0.05,-2.7778,309523.38,53941.405999999995,1.778,1.793,2.1846666666666663,-0.3074244501658625,-0.32710352422467703,0.019679074058814527
002770.SZ,20200724,1.73,1.84,1.71,1.78,1.75,0.03,1.7143,480385.98,85573.67300000001,1.778,1.793,2.1846666666666663,-0.2959926445172698,-0.3208813482831956,0.02488870376592578
002770.SZ,20200727,1.76,1.78,1.71,1.73,1.78,-0.05,-2.8089999999999997,256216.51,44503.53400000001,1.778,1.793,2.1846666666666663,-0.28765157006874587,-0.31423539264030564,0.02658382257155978
002770.SZ,20200728,1.73,1.82,1.72,1.82,1.73,0.09,5.2023,502464.63,90103.464,1.778,1.793,2.1846666666666663,-0.2706589724800874,-0.305520108608262,0.0348611361281746
002770.SZ,20200729,1.8,1.86,1.77,1.81,1.82,-0.01,-0.5495,415877.92,75146.04400000001,1.778,1.793,2.1846666666666663,-0.25505897183392934,-0.2954278812533955,0.04036890941946614
002770.SZ,20200730,1.8,1.83,1.78,1.8,1.81,-0.01,-0.5525,255447.28,45963.452000000005,1.8240000000000003,1.843,1.889,-0.24072781495350437,-0.28448786799341724,0.04376005303991287
002770.SZ,20200731,1.78,1.82,1.77,1.78,1.8,-0.02,-1.1111,235275.09,42044.699,1.8240000000000003,1.843,1.889,-0.22835180526139354,-0.2732606554470125,0.044908850185618965
002770.SZ,20200803,1.78,1.83,1.77,1.81,1.78,0.03,1.6854,293136.52,52729.287000000004,1.8240000000000003,1.843,1.889,-0.2136600392033423,-0.26134053219827846,0.04768049299493615
002770.SZ,20200804,1.8,1.85,1.79,1.83,1.81,0.02,1.105,305126.74,55459.373,1.8240000000000003,1.843,1.889,-0.19811908244329257,-0.2486962422472813,0.05057715980398872
