ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,5MA,10MA,30MA,MACD,MACDsignal,MACDhist,slowk,slowd,slowj,score
600196.SH,20200424,36.38,36.89,35.07,35.3,36.39,-1.09,-2.9953,666658.5,2386821.477,34.90599999999999,35.3,35.3,,,,,,,0.496653055
600196.SH,20200427,35.55,36.46,34.85,36.21,35.3,0.91,2.5779,546646.85,1962962.408,34.90599999999999,36.21,36.21,,,,,,,0.38430419200000004
600196.SH,20200428,35.8,36.25,34.71,35.39,36.21,-0.82,-2.2646,472331.51,1673781.981,34.90599999999999,35.39,35.39,,,,,,,0.518286625
600196.SH,20200429,35.36,35.92,34.0,34.0,35.39,-1.39,-3.9277,492417.84,1714421.58,34.90599999999999,34.0,34.0,,,,,,,0.32283198
600196.SH,20200430,33.51,33.86,32.67,33.63,34.0,-0.37,-1.0882,649288.78,2166308.252,34.90599999999999,33.63,33.63,,,,,,,0.412158064
600196.SH,20200506,33.49,34.19,33.3,34.19,33.63,0.56,1.6652,438699.9,1484153.01,33.854,33.404,32.25366666666667,,,,,,,0.429578406
600196.SH,20200507,34.08,34.44,33.68,33.7,34.19,-0.49,-1.4332,354450.82,1205395.346,33.854,33.404,32.25366666666667,,,,,,,0.497904345
600196.SH,20200508,33.75,34.15,33.26,33.44,33.7,-0.26,-0.7715,412859.22,1388435.4219999998,33.854,33.404,32.25366666666667,,,,,,,0.441643283
600196.SH,20200511,33.85,34.05,33.46,33.85,33.44,0.41,1.2261,349842.94,1181333.14,33.854,33.404,32.25366666666667,,,,,,,0.42242572799999994
600196.SH,20200512,33.83,34.38,33.61,34.09,33.85,0.24,0.7090000000000001,362890.53,1235435.152,33.854,33.404,32.25366666666667,,,,,,,0.43132506600000003
600196.SH,20200513,34.0,34.0,33.42,33.81,34.09,-0.28,-0.8214,285810.09,962797.8809999999,32.954,33.404,32.25366666666667,,,,,,,0.282269186
600196.SH,20200514,33.55,33.55,32.35,32.35,33.81,-1.46,-4.3182,519528.37,1707488.177,32.954,33.404,32.25366666666667,,,,,,,0.5210106179999999
600196.SH,20200515,32.6,32.9,32.14,32.75,32.35,0.4,1.2365,319309.19,1040043.8259999999,32.954,33.404,32.25366666666667,,,,19.455104849809747,24.99428751497657,8.37673951947611,0.43919468700000003
600196.SH,20200518,32.79,33.64,32.27,32.92,32.75,0.17,0.5191,391125.61,1294337.709,32.954,33.404,32.25366666666667,,,,20.144927536231922,20.90118789408628,18.6324068205232,0.38433667
600196.SH,20200519,33.66,34.05,32.9,32.94,32.92,0.02,0.0608,433615.34,1450604.2230000002,32.954,33.404,32.25366666666667,,,,31.73913043478261,23.779720940274764,47.657949423798335,0.395069464
