ts_code,trade_date,open,high,low,close,change,pct_chg,vol,amount,5MA,MACD,slowj,score,n_vol,n_amount
600559.SH,20130503,25.78,26.47,25.71,26.03,0.34,1.32,21187.87,55338.482,26.738,-3.34151342,4.939451452,0.503426571,-0.132264941,-0.162829284
600559.SH,20130506,26.03,27.55,26.03,27.51,1.48,5.69,43510.97,115894.539,26.738,-3.171186351,30.9291861,0.621437437,-0.027527682,0.001179319
600559.SH,20130507,27.45,30.26,27.12,30.26,2.75,10,82744.76,239906.104,31.46,-2.782227123,84.05223481,0.636128802,0.156552469,0.337049332
600559.SH,20130508,30,30.6,29.52,30.54,0.28,0.93,58325.24,175901.482,31.46,-2.423444512,129.3143687,0.683895192,0.041979063,0.163700716
600559.SH,20130509,30.62,32.88,30.15,32.3,1.76,5.76,79812.57,256147.778,31.46,-1.974330564,137.5857328,0.688800832,0.142794992,0.3810379
600559.SH,20130510,32.34,33.3,31.5,32.14,-0.16,-0.5,34732.89,112272.299,31.46,-1.6127247,106.2267286,0.532399137,-0.068713361,-0.00863107
600559.SH,20130513,32.1,33.25,31.58,32.06,-0.08,-0.25,36426.68,118144.507,31.46,-1.3174184,81.10248928,0.733765336,-0.060766306,0.00727308
600559.SH,20130514,31.8,31.93,29.1,29.8,-2.26,-7.05,66621.37,200806.91,30.21,-1.251324651,55.06490304,1.031817405,0.080903492,0.231153992
600559.SH,20130515,29.78,30.49,29.63,29.86,0.06,0.2,38351.93,115174.022,30.21,-1.180495364,42.87716695,0.449693508,-0.051733268,-0.000772112
600559.SH,20130516,29.88,30.48,28.75,30.2,0.34,1.14,55995.71,166671.744,30.21,-1.084426887,37.06856115,0.605177134,0.031049193,0.13870311
600559.SH,20130517,30.02,30.72,29.73,30.45,0.25,0.83,35228.96,106628.851,30.21,-0.976858401,48.810354,0.500984961,-0.066385862,-0.023915652
600559.SH,20130520,30.6,31.1,30.34,30.74,0.29,0.95,44128.61,135789.53,30.21,-0.858314904,46.5203459,0.615923593,-0.024629791,0.055062446
600559.SH,20130521,30.55,30.95,30.03,30.25,-0.49,-1.59,39314.09,119316.311,32.264,-0.794745898,30.25673141,0.464944295,-0.04721893,0.010446766
600559.SH,20130522,30.39,33,30.26,32.84,2.59,8.56,86320.71,275169.432,32.264,-0.529274501,66.11363616,0.550556556,0.17333039,0.432555702
600559.SH,20130523,32.48,33.55,32.05,32.74,-0.1,-0.3,64591.38,211855.351,32.264,-0.32322968,94.16828924,0.674991629,0.071379027,0.261077331
600559.SH,20130527,32.66,33.09,32,32.83,0.17,0.52,33062.42,107486.983,32.264,-0.024697553,91.7969068,0.769094447,-0.076551003,-0.021591508
600559.SH,20130528,32.76,33.17,32.39,33.01,0.18,0.55,38648.66,127228.364,32.148,0.099472191,86.48275336,0.390380269,-0.050341047,0.031875585
