,阅读量,回复量,新闻,日期
0,238,1,买的个股全部绿油油，打不过就加入白酒吧！看来我真的是韭菜命，刚买入老白干，又追高,12-11 14:01
1,408,4,快跑，大盘顶了，白酒也顶了。,12-11 14:00
2,73,1,明天大涨,12-11 14:00
3,10865,3,本周醉了！着眼明年啤酒布局正当时！,12-11 13:58
4,84,1,不到21不买,12-11 13:58
5,1259,16,酿酒板块或阶段性见顶。连续疯狂的酒类炒作，今日竟敢还在继续发飚，这就是赶顶的前兆,12-11 13:57
6,286,3,拿到明年100元,12-11 13:56
7,220,5,跌跌,12-11 13:55
8,402,7,老是白干，今天干不动了吗！,12-11 13:55
9,330,4,大单，超大单，流出那么多，下午继续跌,12-11 13:54
10,80,0,白酒板块是真抗跌啊！！！哈哈哈。加油，老白干！我预计下午会再冲高一下，不用担心家,12-11 13:53
11,51,0,今天真开心，隔壁老王送我了一箱老白干,12-11 13:53
12,29393,17,2020白酒大涨千千万 2021谁是未来金不换？,12-11 13:53
13,3586,5,涨幅过大，风险大于收益，回避回避,12-11 13:52
14,208,2,先诱底估计年底可以涨到36元吧,12-11 13:51
15,22618,5,什么？8连崩：朗博科技要步仁东控股后尘？,12-11 13:51
16,63,0,缩量都不愿意卖,12-11 13:50
17,113,0,见顶了？,12-11 13:50
18,38,0,跌的动吗,12-11 13:49
19,64,0,看看外面多绿，就晓得白酒有多好[微笑],12-11 13:48
20,59,0,洗洗更健康,12-11 13:47
21,122,1,已出仓，感觉是歇菜了，炒作已完成,12-11 13:46
22,94,0,老白就是第二个袁绍，牌子很亮就是不行，成功的将自己知名度从二线品牌提升到一线品牌,12-11 13:46
23,70,0,主力跑路了,12-11 13:46
24,58,0,跌停了,12-11 13:45
25,1641,3,啊哈哈哈哈，老白干酒虽然卖飞，但是云煤能源要发财了，小散们赶紧追吧，年内5块打底,12-11 13:45
26,111,1,老白今年25左右差不多了,12-11 13:43
27,159,2,就差一个放量跌停了，哈哈,12-11 13:43
28,64,0,看样子今天要熄火了,12-11 13:43
29,90,0,OMG[色][得意],12-11 13:43
30,281,2,盘面缩量整理，北上资金卖出，一群短线客！今天收盘如果是红盘下周值得期待！5年箱体,12-11 13:42
31,76,0,主力跑完了,12-11 13:41
32,93,1,跌停5%-10%,12-11 13:40
33,119,1,都有青花瓷，你什么时候能赶上汾酒的零头！,12-11 13:39
34,68,0,要涨了，因为我割肉了。,12-11 13:39
35,55,0,超不过平线,12-11 13:39
36,121,1,每次都是下午砸盘,12-11 13:38
37,371,4,卖完了,12-11 13:38
38,48,0,看出来，一波三折跌,12-11 13:37
39,775,10,按错了，23.11卖出去！一脸懵逼[晕],12-11 13:37
40,4844,20,【山西汾酒】明日及下周预测：谨防天地板,12-11 13:36
41,61,0,大盘越跌。白酒猛涨老白干闷头干。,12-11 13:35
42,103,0,什么情况,12-11 13:34
43,68,0,23.65怎么搞,12-11 13:33
44,69,0,该跌不跌，必须看涨！,12-11 13:31
45,160,2,还回调吗，不回调我不敢加仓啊,12-11 13:31
46,189,2,12亿溶质，有点多？,12-11 13:31
47,113,0,又套住了[呲牙],12-11 13:29
48,75,0,这次必须拉到28才能套人[偷笑][滴汗],12-11 13:29
49,334,3,要跌停？,12-11 13:27
50,61,0,下午冲25,12-11 13:26
51,113,0,还好跑的快,12-11 13:26
52,109,0,跌停了,12-11 13:25
53,321,4,居然成本越来越高,12-11 13:25
54,58,0,外面狂风暴雨，还是白酒稳稳的幸福,12-11 13:24
55,197,3,回调了要,12-11 13:24
56,1270,18,昨天早盘和尾盘多少被颠下车的？昨天24又有多少追高的？出去的这个位置还敢不敢进？,12-11 13:22
57,59,0,快跑要跌了。,12-11 13:21
58,203,2,收盘涨停,12-11 13:20
59,179,2,年底了，买几手老白干置办年货吧。谢谢主力,12-11 13:18
60,140,0,走了,12-11 13:17
61,140,0,现在酒还没达到下跌机会，因为你还没醉，要有一过程，喝酒→讲酒话→高兴→沉睡→发作,12-11 13:16
62,105,2,我感觉它要涨了，因为我全卖了……[滴汗],12-11 13:16
63,67,0,猜下下调多少,12-11 13:14
64,68,0,大盘跌成狗，还是这里稳机构抱团防御,12-11 13:14
65,70,0,总价低，补涨。,12-11 13:14
66,61,0,白酒，万绿丛中一点红,12-11 13:11
67,2397,0,看好老白干,12-11 13:11
68,73,0,白哥我看你，加油,12-11 13:06
69,72,0,震荡洗盘，静待大盘,12-11 13:06
70,71,0,23.3进了……,12-11 13:06
71,82,0,。。。。。。。,12-11 13:03
72,82,0,。。。。。。。,12-11 13:03
73,70,0,还是你最强王者,12-11 13:01
74,109,0,呼呼，睡觉吧,12-11 13:01
75,1302,15,我这样的手艺玩什么股票？供销大集拿了四个多月，涨停之前一天卖掉的，江淮汽车，涨停,12-11 13:01
76,69,0,不如炒605183,12-11 13:00
77,96,1,真是老白干啊，领导白干，股东白干，喝酒的人白干,12-11 12:59
78,69,0,庇护姐姐哦100000,12-11 12:59
