ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,5MA,10MA,30MA,MACD,MACDsignal,MACDhist,slowk,slowd,slowj,score,Read_count
002594.SZ,20150727,53.98,55.49,50.03,50.03,55.59,-5.56,-10.0,181208.18,954348.2597,53.356,55.107,57.55366667,-4.184705518,-6.0333654779999994,1.84865996,48.13085112,57.24504594,29.90246149,0.410367659,290838
002594.SZ,20150728,47.8,50.97,45.5,49.8,50.03,-0.23,-0.46,204326.35,982651.4006,53.356,55.107,57.55366667,-4.201044038,-5.66690119,1.4658571519999999,37.58562802,48.82305577,15.11077252,0.491390334,313064
002594.SZ,20150729,50.68,54.78,49.1,54.78,49.8,4.98,10.0,199882.39,1039550.1690000001,53.356,55.107,57.55366667,-3.7687047689999997,-5.287261906,1.518557137,42.80205876,42.83951263,42.72715102,0.39839961700000004,361174
002594.SZ,20150730,54.02,55.78,51.18,51.8,54.78,-2.98,-5.44,162351.33,878649.0509,56.858000000000004,55.107,57.55366667,-3.6247500169999998,-4.954759528,1.3300095109999999,52.80212483,44.39660387,69.61316676,0.413741949,106437
002594.SZ,20150731,50.98,55.63,50.76,55.6,51.8,3.8,7.34,224725.94,1218020.207,56.858000000000004,55.107,57.55366667,-3.16752336,-4.597312295,1.429788935,68.20717131,54.60378497,95.413944,0.290864174,303467
002594.SZ,20150803,54.6,57.84,54.3,57.78,55.6,2.18,3.92,249985.38,1412324.791,56.858000000000004,55.107,57.55366667,-2.599297079,-4.197709252,1.598412172,76.17529880000001,65.72819832,97.06949978,0.36956266,373866
002594.SZ,20150804,57.88,60.48,55.19,59.66,57.78,1.88,3.25,261998.93,1528937.75,56.858000000000004,55.107,57.55366667,-1.97451242,-3.753069885,1.778557465,90.95090931,78.44445981,115.96380829999998,0.52832265,283617
002594.SZ,20150805,58.68,62.99,58.41,59.45,59.66,-0.21,-0.35,200543.8,1220519.331,56.858000000000004,55.107,57.55366667,-1.479259341,-3.298307776,1.8190484359999999,90.71150102,85.94590305,100.24269699999999,0.43958062200000003,242380
002594.SZ,20150806,58.95,65.4,57.18,65.4,59.45,5.95,10.01,360399.46,2319434.87,64.98,63.295,57.55366667,-0.599739015,-2.7585940239999998,2.1588550090000003,91.42863249999999,91.03034761,92.22520227,0.42310543100000003,307578
002594.SZ,20150807,67.0,67.71,63.88,65.0,65.4,-0.4,-0.61,338395.92,2222391.492,64.98,63.295,57.55366667,0.064269662,-2.194021287,2.258290949,89.18605061,90.44206138,86.67402908,0.406445665,206287
002594.SZ,20150810,65.95,67.88,63.0,66.81,65.0,1.81,2.78,232231.1,1523307.082,64.98,63.295,57.55366667,0.728159427,-1.609585144,2.337744571,94.03357949,91.54942087,99.00189674,0.236513809,125059
002594.SZ,20150811,65.55,68.58,65.06,65.7,66.81,-1.11,-1.66,204553.49,1357478.4840000002,64.98,63.295,57.55366667,1.1514558590000001,-1.057376944,2.208832802,88.64637409999999,90.6220014,84.69511951,0.442056544,284931
002594.SZ,20150812,64.5,64.92,61.8,61.99,65.7,-3.71,-5.65,174192.32,1102034.586,64.98,63.295,57.55366667,1.174021942,-0.611097166,1.785119109,80.38663765,87.68886375,65.78218544,0.49976454200000003,232778
