ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,5MA,10MA,30MA,MACD,MACDsignal,MACDhist,slowk,slowd,slowj
002594.SZ,20150727,53.98,55.49,50.03,50.03,55.59,-5.56,-10,181208.18,954348.2597,53.356,55.107,57.55366667,-4.184705518,-6.033365478,1.84865996,48.13085112,57.24504594,29.90246149
002594.SZ,20150728,47.8,50.97,45.5,49.8,50.03,-0.23,-0.46,204326.35,982651.4006,53.356,55.107,57.55366667,-4.201044038,-5.66690119,1.465857152,37.58562802,48.82305577,15.11077252
002594.SZ,20150729,50.68,54.78,49.1,54.78,49.8,4.98,10,199882.39,1039550.169,53.356,55.107,57.55366667,-3.768704769,-5.287261906,1.518557137,42.80205876,42.83951263,42.72715102
002594.SZ,20150730,54.02,55.78,51.18,51.8,54.78,-2.98,-5.44,162351.33,878649.0509,56.858,55.107,57.55366667,-3.624750017,-4.954759528,1.330009511,52.80212483,44.39660387,69.61316676
002594.SZ,20150731,50.98,55.63,50.76,55.6,51.8,3.8,7.34,224725.94,1218020.207,56.858,55.107,57.55366667,-3.16752336,-4.597312295,1.429788935,68.20717131,54.60378497,95.413944
002594.SZ,20150803,54.6,57.84,54.3,57.78,55.6,2.18,3.92,249985.38,1412324.791,56.858,55.107,57.55366667,-2.599297079,-4.197709252,1.598412172,76.1752988,65.72819832,97.06949978
002594.SZ,20150804,57.88,60.48,55.19,59.66,57.78,1.88,3.25,261998.93,1528937.75,56.858,55.107,57.55366667,-1.97451242,-3.753069885,1.778557465,90.95090931,78.44445981,115.9638083
002594.SZ,20150805,58.68,62.99,58.41,59.45,59.66,-0.21,-0.35,200543.8,1220519.331,56.858,55.107,57.55366667,-1.479259341,-3.298307776,1.819048436,90.71150102,85.94590305,100.242697
002594.SZ,20150806,58.95,65.4,57.18,65.4,59.45,5.95,10.01,360399.46,2319434.87,64.98,63.295,57.55366667,-0.599739015,-2.758594024,2.158855009,91.4286325,91.03034761,92.22520227
002594.SZ,20150807,67,67.71,63.88,65,65.4,-0.4,-0.61,338395.92,2222391.492,64.98,63.295,57.55366667,0.064269662,-2.194021287,2.258290949,89.18605061,90.44206138,86.67402908
002594.SZ,20150810,65.95,67.88,63,66.81,65,1.81,2.78,232231.1,1523307.082,64.98,63.295,57.55366667,0.728159427,-1.609585144,2.337744571,94.03357949,91.54942087,99.00189674
002594.SZ,20150811,65.55,68.58,65.06,65.7,66.81,-1.11,-1.66,204553.49,1357478.484,64.98,63.295,57.55366667,1.151455859,-1.057376944,2.208832802,88.6463741,90.6220014,84.69511951
002594.SZ,20150812,64.5,64.92,61.8,61.99,65.7,-3.71,-5.65,174192.32,1102034.586,64.98,63.295,57.55366667,1.174021942,-0.611097166,1.785119109,80.38663765,87.68886375,65.78218544
002594.SZ,20150813,61.97,64.2,61,63.84,61.99,1.85,2.98,131594.82,828197.5227,61.61,63.295,57.55366667,1.325901103,-0.223697513,1.549598615,71.2213954,80.08480238,53.49458144
002594.SZ,20150814,63.6,66.35,63.6,63.75,63.84,-0.09,-0.14,134380.02,872372.4608,61.61,63.295,57.55366667,1.422605275,0.105563045,1.31704223,64.58470236,72.06424514,49.62561681
002594.SZ,20150817,62.7,65.23,62.1,64.2,63.75,0.45,0.71,109520.22,699740.8458,61.61,63.295,57.55366667,1.518056063,0.388061649,1.129994414,64.10465825,66.63691867,59.04013742
002594.SZ,20150818,64.18,64.18,57.78,57.78,64.2,-6.42,-10,171937.62,1039710.137,61.61,63.295,57.55366667,1.063402907,0.5231299,0.540273007,43.59013666,57.42649909,15.91741179
002594.SZ,20150819,56,59.6,52.2,58.48,57.78,0.7,1.21,166604.95,926777.1501,61.61,63.295,57.55366667,0.750915074,0.568686935,0.182228139,35.06051453,47.58510315,10.01133731
002594.SZ,20150820,57,57.4,54,54.4,58.48,-4.08,-6.98,111732.74,624928.4958,46.746,47.879,52.846,0.172060902,0.489361728,-0.317300827,19.01120322,32.55395147,-8.074293276
002594.SZ,20150821,53,54.04,49.56,49.8,54.4,-4.6,-8.46,166083.06,852199.7728,46.746,47.879,52.846,-0.650369699,0.261415443,-0.911785142,17.67742714,23.91638163,5.199518159
002594.SZ,20150824,47.3,47.3,44.82,44.82,49.8,-4.98,-10,161167.87,734111.8083,46.746,47.879,52.846,-1.684577496,-0.127783145,-1.556794351,4.897614361,13.86208157,-13.03132007
002594.SZ,20150825,40.8,45.99,40.34,40.34,44.82,-4.48,-10,200305.02,840397.0687,46.746,47.879,52.846,-2.833035712,-0.668833658,-2.164202054,0.420609884,7.665217129,-14.0686046
002594.SZ,20150826,41.6,44.37,39.85,44.37,40.34,4.03,9.99,247529.48,1059971.182,46.746,47.879,52.846,-3.379058124,-1.210878552,-2.168179573,5.685534591,3.667919612,9.720764549
