,index_code,industry_name,level
0,801023.SI,石油开采,L2
1,801021.SI,煤炭开采,L2
2,801022.SI,其他采掘,L2
3,801024.SI,采掘服务,L2
4,801035.SI,石油化工,L2
5,801033.SI,化学原料,L2
6,801034.SI,化学制品,L2
7,801032.SI,化学纤维,L2
8,801036.SI,塑料,L2
9,801037.SI,橡胶,L2
10,801041.SI,钢铁,L2
11,801055.SI,工业金属,L2
12,801053.SI,黄金,L2
13,801054.SI,稀有金属,L2
14,801051.SI,金属非金属新材料,L2
15,801711.SI,水泥制造,L2
16,801712.SI,玻璃制造,L2
17,801713.SI,其他建材,L2
18,801721.SI,房屋建设,L2
19,801722.SI,装修装饰,L2
20,801725.SI,园林工程,L2
21,801723.SI,基础建设,L2
22,801724.SI,专业工程,L2
23,801731.SI,电机,L2
24,801732.SI,电气自动化设备,L2
25,801733.SI,电源设备,L2
26,801734.SI,高低压设备,L2
27,801072.SI,通用机械,L2
28,801074.SI,专用设备,L2
29,801073.SI,仪器仪表,L2
30,801075.SI,金属制品,L2
31,801076.SI,运输设备,L2
32,801741.SI,航天装备,L2
33,801742.SI,航空装备,L2
34,801743.SI,地面兵装,L2
35,801744.SI,船舶制造,L2
36,801094.SI,汽车整车,L2
37,801093.SI,汽车零部件,L2
38,801092.SI,汽车服务,L2
39,801881.SI,其他交运设备,L2
40,801111.SI,白色家电,L2
41,801112.SI,视听器材,L2
42,801131.SI,纺织制造,L2
43,801132.SI,服装家纺,L2
44,801143.SI,造纸,L2
45,801141.SI,包装印刷,L2
46,801142.SI,家用轻工,L2
47,801144.SI,其他轻工制造,L2
48,801203.SI,一般零售,L2
49,801204.SI,专业零售,L2
50,801205.SI,商业物业经营,L2
51,801202.SI,贸易,L2
52,801016.SI,种植业,L2
53,801015.SI,渔业,L2
54,801011.SI,林业,L2
55,801014.SI,饲料,L2
56,801012.SI,农产品加工,L2
57,801013.SI,农业综合,L2
58,801017.SI,畜禽养殖,L2
59,801018.SI,动物保健,L2
60,801123.SI,饮料制造,L2
61,801124.SI,食品加工,L2
62,801212.SI,景点,L2
63,801213.SI,酒店,L2
64,801214.SI,旅游综合,L2
65,801211.SI,餐饮,L2
66,801215.SI,其他休闲服务,L2
67,801151.SI,化学制药,L2
68,801155.SI,中药,L2
69,801152.SI,生物制品,L2
70,801154.SI,医药商业,L2
71,801153.SI,医疗器械,L2
72,801156.SI,医疗服务,L2
73,801161.SI,电力,L2
74,801164.SI,水务,L2
75,801163.SI,燃气,L2
76,801162.SI,环保工程及服务,L2
77,801171.SI,港口,L2
78,801175.SI,高速公路,L2
79,801172.SI,公交,L2
80,801173.SI,航空运输,L2
81,801174.SI,机场,L2
82,801176.SI,航运,L2
83,801177.SI,铁路运输,L2
84,801178.SI,物流,L2
85,801181.SI,房地产开发,L2
86,801182.SI,园区开发,L2
87,801081.SI,半导体,L2
88,801083.SI,元件,L2
89,801084.SI,光学光电子,L2
90,801082.SI,其他电子,L2
91,801085.SI,电子制造,L2
92,801101.SI,计算机设备,L2
93,801222.SI,计算机应用,L2
94,801761.SI,文化传媒,L2
95,801751.SI,营销传播,L2
96,801752.SI,互联网传媒,L2
97,801223.SI,通信运营,L2
98,801102.SI,通信设备,L2
99,801192.SI,银行,L2
100,801193.SI,证券,L2
101,801194.SI,保险,L2
102,801191.SI,多元金融,L2
103,801231.SI,综合,L2
