ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,5MA,MACD,slowj,score,Read_count
002594.SZ,20150727,53.98,55.49,50.03,50.03,55.59,-5.56,-10,181208.18,954348.2597,53.356,-4.184705518,29.90246149,0.410367659,290838
002594.SZ,20150728,47.8,50.97,45.5,49.8,50.03,-0.23,-0.46,204326.35,982651.4006,53.356,-4.201044038,15.11077252,0.491390334,313064
002594.SZ,20150729,50.68,54.78,49.1,54.78,49.8,4.98,10,199882.39,1039550.169,53.356,-3.768704769,42.72715102,0.398399617,361174
002594.SZ,20150730,54.02,55.78,51.18,51.8,54.78,-2.98,-5.44,162351.33,878649.0509,56.858,-3.624750017,69.61316676,0.413741949,106437
002594.SZ,20150731,50.98,55.63,50.76,55.6,51.8,3.8,7.34,224725.94,1218020.207,56.858,-3.16752336,95.413944,0.290864174,303467
002594.SZ,20150803,54.6,57.84,54.3,57.78,55.6,2.18,3.92,249985.38,1412324.791,56.858,-2.599297079,97.06949978,0.36956266,373866
002594.SZ,20150804,57.88,60.48,55.19,59.66,57.78,1.88,3.25,261998.93,1528937.75,56.858,-1.97451242,115.9638083,0.52832265,283617
002594.SZ,20150805,58.68,62.99,58.41,59.45,59.66,-0.21,-0.35,200543.8,1220519.331,56.858,-1.479259341,100.242697,0.439580622,242380
002594.SZ,20150806,58.95,65.4,57.18,65.4,59.45,5.95,10.01,360399.46,2319434.87,64.98,-0.599739015,92.22520227,0.423105431,307578
002594.SZ,20150807,67,67.71,63.88,65,65.4,-0.4,-0.61,338395.92,2222391.492,64.98,0.064269662,86.67402908,0.406445665,206287
002594.SZ,20150810,65.95,67.88,63,66.81,65,1.81,2.78,232231.1,1523307.082,64.98,0.728159427,99.00189674,0.236513809,125059
002594.SZ,20150811,65.55,68.58,65.06,65.7,66.81,-1.11,-1.66,204553.49,1357478.484,64.98,1.151455859,84.69511951,0.442056544,284931
002594.SZ,20150812,64.5,64.92,61.8,61.99,65.7,-3.71,-5.65,174192.32,1102034.586,64.98,1.174021942,65.78218544,0.499764542,232778
