shijian,score,Read_count
20150727,0.410367659,290838
20150728,0.491390334,313064
20150729,0.398399617,361174
20150730,0.413741949,106437
20150731,0.290864174,303467
20150803,0.36956266,373866
20150804,0.52832265,283617
20150805,0.439580622,242380
20150806,0.423105431,307578
20150807,0.406445665,206287
20150808,0.405844155,249450
20150809,0.471535558,91778
20150810,0.236513809,125059
20150811,0.442056544,284931
20150812,0.499764542,232778
20150813,0.442156356,416066
20150814,0.385048393,18451
20150815,0.621082846,70967
20150816,0.262564143,84156
20150817,0.335193071,248219
20150818,0.250154652,22475
20150819,0.539709115,344504
20150820,0.267543478,42932
20150821,0.205728676,189798
20150822,0.368621252,140070
20150823,0.488259565,74106
20150824,0.328179349,74327
20150825,0.344326049,248593
20150826,0.280341129,148067
20150827,0.461099879,238916
20150828,0.384870874,185134
20150829,0.440680538,74196
20150830,0.33224889,152666
20150831,0.448139142,19672
20150901,0.384215403,366355
20150902,0.324143122,110983
20150903,0.228091581,141104
20150904,0.332265617,117068
20150905,0.431408047,150239
20150907,0.284075825,144009
20150908,0.519718217,271981
20150909,0.415288745,67448
20150910,0.399936046,160961
20150911,0.216439929,44985
20150912,0.373421546,21944
20150913,0.263393886,142024
20150914,0.286301456,29806
20150915,0.453382036,136469
20150916,0.410167013,8373
20150917,0.458460013,147808
20150918,0.449520985,160003
20150919,0.286394708,10997
20150921,0.222658385,55201
20150922,0.301061099,38238
20150923,0.313590232,121924
20150924,0.53715846,20929
20150925,0.394948757,113407
20150926,0.500562983,35368
20150927,0.771292985,25218
20150928,0.463452987,11967
20150929,0.47004974,100179
20150930,0.445339772,54898
20151001,0.133821577,28424
20151002,0.510409484,21551
20151003,0.509086422,32802
20151004,0.526493329,21586
20151005,0.487342418,51554
20151006,0.481634441,27032
20151007,0.463402206,18631
20151008,0.536008683,131317
20151009,0.488269366,261426
20151010,0.55785126,328356
20151011,0.498385544,202536
20151012,0.313960036,267356
20151013,0.36928134,353271
20151014,0.441251261,251302
20151015,0.514351009,299361
20151016,0.424251679,79296
20151017,0.538549225,343857
20151018,0.650990904,347692
20151019,0.570927827,347162
20151020,0.448835378,268510
20151021,0.558736315,374713
20151022,0.467878252,343772
20151023,0.24878643,213856
20151025,0.502804856,146662
20151026,0.546034644,602725
20151027,0.404074909,249875
20151028,0.455409421,207096
20151029,0.425800335,436951
20151030,0.340667231,182634
20151031,0.406081204,127813
20151101,0.260175936,19141
20151102,0.333670402,229711
20151103,0.272023336,62655
20151104,0.458495633,215960
20151105,0.333695731,276661
20151106,0.296707943,280627
20151108,0.507135338,141024
20151109,0.226876176,379157
20151110,0.319482151,256534
20151111,0.400482473,298310
20151112,0.431743726,272162
20151113,0.40415852,307142
20151114,0.405709157,39161
20151115,0.42766007,298073
20151116,0.240752128,202340
20151117,0.433227879,304922
20151118,0.415902993,278471
20151119,0.3900005,372669
20151120,0.315154895,286994
20151121,0.388107844,110355
20151122,0.355559075,47428
20151123,0.354368489,275264
20151124,0.386317015,267671
20151125,0.440725769,395090
20151126,0.193084361,268221
20151127,0.364482033,255345
20151128,0.260698287,454476
20151130,0.413220855,174901
20151201,0.413526356,68435
20151202,0.394950747,175151
20151203,0.33896691,221912
20151204,0.441310831,201184
20151205,0.400719985,67109
20151206,0.487801905,5303
20151207,0.367328407,226401
20151208,0.342512521,249045
20151209,0.507224805,118711
20151210,0.432957783,345949
20151211,0.266659478,354577
20151212,0.562406918,89766
20151213,0.8687,15175
20151214,0.315462524,290693
20151215,0.509130404,65705
20151216,0.302423302,204834
20151217,0.319364403,172696
20151218,0.307413975,476857
20151221,0.334018495,415975
20151222,0.171748951,86205
20151223,0.339040234,280451
20151224,0.317092587,247837
20151225,0.33354397,343989
20151226,0.239208667,5088
20151228,0.386891807,288406
20151229,0.414641666,196296
20151230,0.3709467,140350
20151231,0.372861698,155541
20160101,0.256770349,103728
20160102,0.405886751,464715
20160103,0.4479601,83942
20160104,0.434821086,130139
20160105,0.516655047,377292
20160106,0.622747721,31948
20160107,0.368302717,451902
20160108,0.450298007,320096
20160109,0.376674188,138822
20160111,0.323261666,290986
20160112,0.46304517,103041
20160113,0.456655357,386222
20160114,0.288421941,218067
20160115,0.345699892,287308
20160118,0.328391561,271914
20160119,0.348526078,216884
20160120,0.513199142,243484
20160121,0.631519546,262999
20160122,0.257150985,404337
20160124,0.280501518,86606
20160125,0.277836463,339043
20160126,0.347683078,379396
20160127,0.349639622,344153
20160128,0.342096216,267923
20160129,0.238271632,222532
20160130,0.256675239,263030
20160131,0.45517807,140489
20160201,0.329611596,37615
20160202,0.496931273,439841
20160203,0.410740282,44779
20160204,0.254847189,333154
20160205,0.216947868,89527
20160212,0.9911,3255
20160213,0.44919372,105437
20160214,0.35061394,164272
