ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,5MA,10MA,30MA,MACD,MACDsignal,MACDhist
002594.SZ,20150604,83.6,83.6,80.01,83.6,76.0,7.6,10.0,266185.45,2220425.7415,83.6,83.6,83.6,,,
002594.SZ,20150605,85.9,87.6,79.0,79.49,83.6,-4.11,-4.92,417002.06,3413771.0375,79.49,79.49,79.49,,,
002594.SZ,20150608,78.76,78.76,73.25,74.95,79.49,-4.54,-5.71,278890.91,2105844.3609,74.95,74.95,74.95,,,
002594.SZ,20150609,74.95,76.95,73.53,74.14,74.95,-0.81,-1.08,184408.17,1383725.0202,74.14,74.14,74.14,,,
002594.SZ,20150610,74.14,77.92,74.0,75.83,74.14,1.69,2.28,270899.12,2059268.4747,74.67399999999999,70.051,75.83,,,
002594.SZ,20150611,75.65,75.65,72.9,74.0,75.83,-1.83,-2.41,194653.42,1437425.0592,74.67399999999999,70.051,74.0,,,
002594.SZ,20150612,74.0,76.5,73.49,74.9,74.0,0.9,1.22,206111.78,1547423.8869,74.67399999999999,70.051,74.9,,,
002594.SZ,20150615,74.97,77.5,72.54,75.77,74.9,0.87,1.16,303138.27,2263020.7849,74.67399999999999,70.051,75.77,,,
002594.SZ,20150616,74.5,75.0,71.99,72.87,75.77,-2.9,-3.83,143026.34,1048463.8918,74.67399999999999,70.051,72.87,,,
002594.SZ,20150617,72.9,73.77,70.09,70.9,72.87,-1.97,-2.7,184206.04,1316898.2033,65.428,70.051,70.9,,,
002594.SZ,20150618,70.96,72.87,67.4,67.64,70.9,-3.26,-4.6,201248.74,1408885.9706,65.428,70.051,67.64,,,
002594.SZ,20150619,66.85,66.88,61.58,61.9,67.64,-5.74,-8.49,204946.99,1307006.5654,65.428,70.051,61.9,,,
002594.SZ,20150623,61.8,63.35,58.09,63.12,61.9,1.22,1.97,196983.25,1204132.9739,65.428,70.051,63.12,,,
002594.SZ,20150624,63.35,64.5,61.5,63.58,63.12,0.46,0.73,183030.13,1157977.8339,65.428,70.051,63.58,,,
002594.SZ,20150625,63.86,64.62,61.2,61.99,63.58,-1.59,-2.5,158426.53,1001999.1994,55.242,51.745000000000005,61.99,,,
002594.SZ,20150626,59.9,60.91,55.79,55.79,61.99,-6.2,-10.0,202336.0,1169166.5149,55.242,51.745000000000005,55.79,,,
002594.SZ,20150629,57.1,57.27,50.21,50.21,55.79,-5.58,-10.0,239642.97,1255322.1474,55.242,51.745000000000005,50.21,,,
002594.SZ,20150630,49.33,55.23,45.58,55.23,50.21,5.02,10.0,296001.59,1491820.8074,55.242,51.745000000000005,55.23,,,
002594.SZ,20150701,55.1,57.97,52.58,52.99,55.23,-2.24,-4.06,245696.68,1368399.094,55.242,51.745000000000005,52.99,,,
002594.SZ,20150702,53.0,55.18,47.75,49.27,52.99,-3.72,-7.02,255483.25,1317805.1542,48.248000000000005,51.745000000000005,49.27,,,
002594.SZ,20150703,48.5,52.95,45.61,49.55,49.27,0.28,0.57,275336.3,1349516.7228,48.248000000000005,51.745000000000005,49.55,,,
002594.SZ,20150706,54.2,54.2,45.9,50.75,49.55,1.2,2.42,299274.4,1517176.6596,48.248000000000005,51.745000000000005,50.75,,,
002594.SZ,20150707,48.9,49.85,45.68,46.99,50.75,-3.76,-7.41,436155.65,2037049.4437,48.248000000000005,51.745000000000005,46.99,,,
002594.SZ,20150708,42.29,46.59,42.29,44.68,46.99,-2.31,-4.92,509342.39,2236149.0132,48.248000000000005,51.745000000000005,44.68,,,
002594.SZ,20150709,44.68,49.15,43.51,49.15,44.68,4.47,10.0,230352.93,1090391.5018,53.895999999999994,54.259,57.55366666666666,,,
002594.SZ,20150710,51.9,54.07,50.1,54.07,49.15,4.92,10.01,206392.27,1104304.6775,53.895999999999994,54.259,57.55366666666666,,,
002594.SZ,20150713,55.9,59.48,54.2,59.48,54.07,5.41,10.01,347982.44,1991226.2298,53.895999999999994,54.259,57.55366666666666,,,
002594.SZ,20150714,58.0,61.02,55.84,56.2,59.48,-3.28,-5.51,330449.58,1931883.6024,53.895999999999994,54.259,57.55366666666666,,,
002594.SZ,20150715,54.95,55.98,50.58,50.58,56.2,-5.62,-10.0,240410.62,1266540.8751,53.895999999999994,54.259,57.55366666666666,,,
002594.SZ,20150716,50.58,53.45,48.0,52.19,50.58,1.61,3.18,184014.39,946006.3509,54.622,54.259,57.55366666666666,,,
002594.SZ,20150717,52.8,56.5,52.35,55.55,52.19,3.36,6.44,183378.7,996065.5013,54.622,54.259,57.55366666666666,,,
002594.SZ,20150720,55.55,56.4,53.83,54.99,55.55,-0.56,-1.01,191992.58,1056735.8358,54.622,54.259,57.55366666666666,,,
002594.SZ,20150721,54.0,56.48,52.5,54.82,54.99,-0.17,-0.31,154057.24,849697.9945,54.622,54.259,57.55366666666666,,,
002594.SZ,20150722,55.32,56.8,54.9,55.56,54.82,0.74,1.35,156527.22,874525.5058,54.622,54.259,57.55366666666666,-5.1435432134001715,-7.720247738222074,2.5767045248219027
002594.SZ,20150723,55.56,57.18,54.19,56.58,55.56,1.02,1.84,167036.22,934727.3369,53.35600000000001,55.107000000000006,57.55366666666666,-4.558072769322308,-7.087812744442121,2.5297399751198126
002594.SZ,20150724,56.7,58.05,55.49,55.59,56.58,-0.99,-1.75,186909.72,1056946.996,53.35600000000001,55.107000000000006,57.55366666666666,-4.126401364197804,-6.495530468393257,2.369129104195453
002594.SZ,20150727,53.98,55.49,50.03,50.03,55.59,-5.56,-10.0,181208.18,954348.2597,53.35600000000001,55.107000000000006,57.55366666666666,-4.184705518425638,-6.033365478399733,1.8486599599740954
002594.SZ,20150728,47.8,50.97,45.5,49.8,50.03,-0.23,-0.46,204326.35,982651.4006,53.35600000000001,55.107000000000006,57.55366666666666,-4.201044037909831,-5.666901190301752,1.465857152391921
002594.SZ,20150729,50.68,54.78,49.1,54.78,49.8,4.98,10.0,199882.39,1039550.1686,53.35600000000001,55.107000000000006,57.55366666666666,-3.7687047692674156,-5.287261906094885,1.5185571368274697
002594.SZ,20150730,54.02,55.78,51.18,51.8,54.78,-2.98,-5.44,162351.33,878649.0509,56.85799999999999,55.107000000000006,57.55366666666666,-3.6247500172624783,-4.954759528328404,1.330009511065926
002594.SZ,20150731,50.98,55.63,50.76,55.6,51.8,3.8,7.34,224725.94,1218020.2072,56.85799999999999,55.107000000000006,57.55366666666666,-3.1675233595120247,-4.597312294565128,1.4297889350531037
002594.SZ,20150803,54.6,57.84,54.3,57.78,55.6,2.18,3.92,249985.38,1412324.7912,56.85799999999999,55.107000000000006,57.55366666666666,-2.5992970793997117,-4.197709251532045,1.598412172132333
002594.SZ,20150804,57.88,60.48,55.19,59.66,57.78,1.88,3.25,261998.93,1528937.7503,56.85799999999999,55.107000000000006,57.55366666666666,-1.9745124202872262,-3.753069885283081,1.7785574649958549
002594.SZ,20150805,58.68,62.99,58.41,59.45,59.66,-0.21,-0.35,200543.8,1220519.3311,56.85799999999999,55.107000000000006,57.55366666666666,-1.479259340694398,-3.2983077763653443,1.8190484356709464
002594.SZ,20150806,58.95,65.4,57.18,65.4,59.45,5.95,10.01,360399.46,2319434.8698,64.97999999999999,63.294999999999995,57.55366666666666,-0.5997390151935207,-2.7585940241309794,2.1588550089374587
002594.SZ,20150807,67.0,67.71,63.88,65.0,65.4,-0.4,-0.61,338395.92,2222391.4919,64.97999999999999,63.294999999999995,57.55366666666666,0.06426966165409453,-2.194021286973965,2.2582909486280593
002594.SZ,20150810,65.95,67.88,63.0,66.81,65.0,1.81,2.78,232231.1,1523307.0819,64.97999999999999,63.294999999999995,57.55366666666666,0.7281594265728373,-1.6095851442646043,2.3377445708374416
002594.SZ,20150811,65.55,68.58,65.06,65.7,66.81,-1.11,-1.66,204553.49,1357478.4835,64.97999999999999,63.294999999999995,57.55366666666666,1.1514558586137582,-1.0573769436889318,2.20883280230269
002594.SZ,20150812,64.5,64.92,61.8,61.99,65.7,-3.71,-5.65,174192.32,1102034.5859,64.97999999999999,63.294999999999995,57.55366666666666,1.1740219423083431,-0.6110971664894767,1.7851191087978198
002594.SZ,20150813,61.97,64.2,61.0,63.84,61.99,1.85,2.98,131594.82,828197.5227,61.60999999999999,63.294999999999995,57.55366666666666,1.3259011025555694,-0.22369751268046745,1.5495986152360368
002594.SZ,20150814,63.6,66.35,63.6,63.75,63.84,-0.09,-0.14,134380.02,872372.4608,61.60999999999999,63.294999999999995,57.55366666666666,1.4226052753697118,0.10556304492956842,1.3170422304401435
002594.SZ,20150817,62.7,65.23,62.1,64.2,63.75,0.45,0.71,109520.22,699740.8458,61.60999999999999,63.294999999999995,57.55366666666666,1.518056062897955,0.38806164852324576,1.1299944143747092
002594.SZ,20150818,64.18,64.18,57.78,57.78,64.2,-6.42,-10.0,171937.62,1039710.1369,61.60999999999999,63.294999999999995,57.55366666666666,1.0634029071106994,0.5231299002407365,0.5402730068699629
002594.SZ,20150819,56.0,59.6,52.2,58.48,57.78,0.7,1.21,166604.95,926777.1501,61.60999999999999,63.294999999999995,57.55366666666666,0.7509150738630126,0.5686869349651917,0.18222813889782086
002594.SZ,20150820,57.0,57.4,54.0,54.4,58.48,-4.08,-6.98,111732.74,624928.4958,46.745999999999995,47.879,52.84599999999999,0.17206090167336896,0.48936172830682717,-0.3173008266334582
002594.SZ,20150821,53.0,54.04,49.56,49.8,54.4,-4.6,-8.46,166083.06,852199.7728,46.745999999999995,47.879,52.84599999999999,-0.6503696993489854,0.26141544277566464,-0.91178514212465
002594.SZ,20150824,47.3,47.3,44.82,44.82,49.8,-4.98,-10.0,161167.87,734111.8083,46.745999999999995,47.879,52.84599999999999,-1.6845774955989867,-0.12778314489926562,-1.556794350699721
002594.SZ,20150825,40.8,45.99,40.34,40.34,44.82,-4.48,-10.0,200305.02,840397.0687,46.745999999999995,47.879,52.84599999999999,-2.8330357120843317,-0.6688336583362788,-2.1642020537480526
002594.SZ,20150826,41.6,44.37,39.85,44.37,40.34,4.03,9.99,247529.48,1059971.1823,46.745999999999995,47.879,52.84599999999999,-3.3790581242926834,-1.2108785515275597,-2.1681795727651236
002594.SZ,20150827,45.99,48.81,45.99,48.81,44.37,4.44,10.01,209849.09,997453.7899,49.012,47.879,52.84599999999999,-3.4141576424126967,-1.6515343697045872,-1.7626232727081095
002594.SZ,20150828,50.5,52.25,47.84,51.01,48.81,2.2,4.51,230969.69,1149489.5536,49.012,47.879,52.84599999999999,-3.2272509099721134,-1.9666776777580925,-1.2605732322140208
002594.SZ,20150831,50.87,52.78,49.0,49.85,51.01,-1.16,-2.27,178550.32,906500.0049,49.012,47.879,52.84599999999999,-3.136571835724105,-2.200656509351295,-0.9359153263728102
002594.SZ,20150901,49.0,49.65,45.32,49.59,49.85,-0.26,-0.52,196694.5,948461.1384,49.012,47.879,52.84599999999999,-3.050523309339212,-2.3706298693488783,-0.6798934399903338
002594.SZ,20150902,47.2,51.5,45.76,45.8,49.59,-3.79,-7.64,135880.24,657789.0227,49.012,47.879,52.84599999999999,-3.2506787566520288,-2.5466396468095085,-0.7040391098425203
002594.SZ,20150907,47.8,50.05,47.01,47.69,45.8,1.89,4.13,128832.63,624449.4987,52.108000000000004,51.544000000000004,52.84599999999999,-3.2196816996275714,-2.681248057373121,-0.5384336422544505
002594.SZ,20150908,48.4,51.96,47.26,51.8,47.69,4.11,8.62,148378.95,739834.4457,52.108000000000004,51.544000000000004,52.84599999999999,-2.830841478886157,-2.7111667416757284,-0.11967473721042854
002594.SZ,20150909,52.58,56.0,52.17,55.5,51.8,3.7,7.14,221248.01,1208202.791,52.108000000000004,51.544000000000004,52.84599999999999,-2.198777585383496,-2.608688910417282,0.4099113250337858
002594.SZ,20150910,53.8,54.99,52.4,52.7,55.5,-2.8,-5.05,134767.08,724323.4014,52.108000000000004,51.544000000000004,52.84599999999999,-1.9018753601562466,-2.4673262003650747,0.5654508402088281
002594.SZ,20150911,52.53,53.99,51.68,52.85,52.7,0.15,0.28,93250.96,492777.4315,52.108000000000004,51.544000000000004,52.84599999999999,-1.635620051386681,-2.300984970569396,0.6653649191827151
002594.SZ,20150914,52.85,54.13,47.61,47.85,52.85,-5.0,-9.46,133426.59,672308.5755,50.980000000000004,51.544000000000004,52.84599999999999,-1.807236318859104,-2.2022352402273375,0.39499892136823345
002594.SZ,20150915,46.7,49.4,46.24,47.15,47.85,-0.7,-1.46,97655.8,465990.8972,50.980000000000004,51.544000000000004,52.84599999999999,-1.9769386786297005,-2.15717592790781,0.1802372492781097
002594.SZ,20150916,48.02,51.87,47.31,51.87,47.15,4.72,10.01,135238.34,671951.2248,50.980000000000004,51.544000000000004,52.84599999999999,-1.7108429356735613,-2.0679093294609605,0.35706639378739924
002594.SZ,20150917,53.0,56.21,52.61,52.85,51.87,0.98,1.89,241314.43,1317726.179,50.980000000000004,51.544000000000004,52.84599999999999,-1.4046899412130713,-1.9352654518113828,0.5305755105983114
002594.SZ,20150918,54.0,56.8,53.47,55.18,52.85,2.33,4.41,184409.1,1019277.4115,50.980000000000004,51.544000000000004,52.84599999999999,-0.9629496755678062,-1.7408022965626675,0.7778526209948613
002594.SZ,20150921,54.5,56.75,53.23,56.07,55.18,0.89,1.61,150531.06,831851.5861,57.327999999999996,59.114999999999995,52.84599999999999,-0.5348859383748774,-1.4996190249251096,0.9647330865502322
002594.SZ,20150922,56.05,56.66,54.51,55.24,56.07,-0.83,-1.48,111336.38,617916.7961,57.327999999999996,59.114999999999995,52.84599999999999,-0.2596236264616181,-1.2516199452324113,0.9919963187707932
002594.SZ,20150923,54.6,60.76,54.2,59.01,55.24,3.77,6.82,234872.83,1382839.7015,57.327999999999996,59.114999999999995,52.84599999999999,0.2597371435725506,-0.9493485274714188,1.2090856710439695
002594.SZ,20150924,59.5,59.75,56.88,57.8,59.01,-1.21,-2.05,160829.67,933405.3376,57.327999999999996,59.114999999999995,52.84599999999999,0.5671595458093179,-0.6460469128152715,1.2132064586245894
