ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,5MA,10MA,30MA,MACD,MACDsignal,MACDhist,slowk,slowd,slowj,score
600559.SH,20130503,25.78,26.47,25.71,26.03,25.69,0.34,1.32,21187.87,55338.482,26.738,29.099,30.81533333,-3.34151342,-3.440894916,0.099381496,4.209679503,3.844793529,4.939451452,0.353426571
600559.SH,20130506,26.03,27.55,26.03,27.51,26.03,1.48,5.69,43510.97,115894.539,26.738,29.099,30.81533333,-3.171186351,-3.386953203,0.215766852,14.8709134,6.841777046,30.9291861,0.471437437
600559.SH,20130507,27.45,30.26,27.12,30.26,27.51,2.75,10,82744.76,239906.104,31.46,29.099,30.81533333,-2.782227123,-3.266007987,0.483780864,41.47398432,20.18485907,84.05223481,0.486128802
600559.SH,20130508,30,30.6,29.52,30.54,30.26,0.28,0.93,58325.24,175901.482,31.46,29.099,30.81533333,-2.423444512,-3.097495292,0.67405078,71.51898593,42.62129455,129.3143687,0.533895192
600559.SH,20130509,30.62,32.88,30.15,32.3,30.54,1.76,5.76,79812.57,256147.778,31.46,29.099,30.81533333,-1.974330564,-2.872862346,0.898531783,91.24901984,68.08066336,137.5857328,0.538800832
600559.SH,20130510,32.34,33.3,31.5,32.14,32.3,-0.16,-0.5,34732.89,112272.299,31.46,29.099,30.81533333,-1.6127247,-2.620834817,1.008110117,92.03088532,84.93296369,106.2267286,0.382399137
600559.SH,20130513,32.1,33.25,31.58,32.06,32.14,-0.08,-0.25,36426.68,118144.507,31.46,29.099,30.81533333,-1.3174184,-2.360151534,1.042733134,87.12389688,90.13460068,81.10248928,0.583765336
600559.SH,20130514,31.8,31.93,29.1,29.8,32.06,-2.26,-7.05,66621.37,200806.91,30.21,31.237,30.62566667,-1.251324651,-2.138386157,0.887061506,74.78632479,84.64703566,55.06490304,0.881817405
600559.SH,20130515,29.78,30.49,29.63,29.86,29.8,0.06,0.2,38351.93,115174.022,30.21,31.237,30.62566667,-1.180495364,-1.946807998,0.766312635,64.63599203,75.51540456,42.87716695,0.299693508
600559.SH,20130516,29.88,30.48,28.75,30.2,29.86,0.34,1.14,55995.71,166671.744,30.21,31.237,30.62566667,-1.084426887,-1.774331776,0.689904889,55.72147387,65.04793023,37.06856115,0.455177134
