trade_date,score,Read_count
20130312,0.475811888,1.5952E+21
20130313,0.402900153,1.67912E+42
20130314,0.472439632,7.576E+22
20130315,0.126080329,4.35104E+13
20130316,0.335034662,1.17876E+34
20130317,0.3743519,9.7591E+25
20130318,0.26398581,5.81587E+17
20130319,0.312261659,8.6789E+33
20130320,0.551708958,7.39186E+16
20130321,0.398436652,1.53385E+19
20130322,0.37049166,6.20647E+18
20130323,0.211037172,1.48911E+36
20130324,0.9449,773
20130325,0.2811,546
20130326,0.32725588,1.78411E+78
20130327,0.183773968,1.12811E+75
20130328,0.253277631,7.6183E+125
20130329,0.373764786,1.3951E+111
20130330,0.23179247,1.03772E+27
20130331,0.248571299,821719
20130401,0.0573,1004
20130402,0.554736963,1.07378E+13
20130404,0.724035589,718597
20130405,0.466446766,5.35837E+55
20130406,0.392576616,7.92437E+42
20130407,0.094340845,3.33387E+12
20130408,0.326649707,1.67314E+38
20130409,0.194065276,1.2214E+136
20130416,0.481630401,1.11085E+13
20130417,0.369894714,1.14782E+29
20130418,0.42599429,6.76106E+23
20130419,0.350191434,6011233711
20130420,0.345103615,1.20587E+54
20130421,0.275133266,1.74216E+27
20130422,0.407550323,1.17022E+17
20130423,0.308186299,453598
20130424,0.356147721,7.00105E+38
20130425,0.232197745,8.5571E+54
20130426,0.289317091,1.0692E+60
20130427,0.173937654,1.1127E+149
20130428,0.321934144,1.33896E+40
20130429,0.438297982,1.64218E+30
20130501,0.203476549,8701451617
20130502,0.241376651,1.2272E+120
20130503,0.353426571,1.334E+83
20130504,0.296066101,1.59913E+31
20130505,0.411073604,90110121220
20130506,0.471437437,7.68696E+32
20130507,0.486128802,1.28786E+35
20130508,0.533895192,1.2191E+34
20130509,0.538800832,9.38112E+15
20130510,0.382399137,1.28496E+23
20130511,0.526531124,1.06689E+34
20130512,0.388543891,9.23101E+12
20130513,0.583765336,1.12794E+31
20130514,0.881817405,8.61531E+19
20130515,0.299693508,5.0086E+14
20130516,0.455177134,6.2115E+58
20130517,0.350984961,6.21113E+83
20130518,0.204427751,1.44755E+67
20130519,0.50962648,5.56641E+57
20130520,0.465923593,1.14968E+91
20130521,0.314944295,1.68512E+91
20130522,0.400556556,2.17984E+61
20130523,0.524991629,5.74456E+38
20130526,0.474329264,813858
20130527,0.619094447,2.54321E+14
20130528,0.240380269,8.36836E+51
20130529,0.345750487,7.73729E+49
20130530,0.279156446,1.28077E+51
20130531,0.52414479,6.1859E+115
20130601,0.304502651,1.4301E+111
20130602,0.317241714,6.67832E+55
20130603,0.181722636,8.87666E+52
20130611,0.7486,2217
20130612,0.38676046,6.15803E+12
20130613,0.154787612,6.59204E+20
20130614,0.581977071,8.96123E+19
20130615,0.331321258,7.77732E+49
20130616,0.0656,569
20130617,0.7265,1423
20130618,0.200843221,1.0261E+17
20130619,0.236566898,8.30123E+53
20130620,0.496473055,1.36113E+27
20130621,0.271419884,2.15813E+52
20130623,0.248714475,4371069
20130624,0.3165,968
20130625,0.267283888,9.52234E+16
20130626,0.409226937,1075484635
20130627,0.181676323,9.40879E+31
20130628,0.352655741,1.03547E+18
20130629,0.229843743,1.07681E+92
20130630,0.380566795,1687529907
20130701,0.260839896,7.0011E+12
20130702,0.348967295,1.29013E+81
20130703,0.456651625,1.13658E+63
20130704,0.427135287,8.42132E+52
20130705,0.311823285,1.20513E+81
20130706,0.47088163,1.01473E+87
20130707,0.536890007,7.7994E+11
20130708,0.578809179,6.66119E+19
20130709,0.687234554,7.78144E+86
20130710,0.312274278,7.91236E+83
20130711,0.420533622,7.171E+149
20130712,0.36992729,419351382071162964791498724271249145180514755068117285944967214112719551014617666651467419351382071162964791498724271249145180514755068117285944967214112719551014617666651467610999572539101266744752355936838131636146938361243646533656387843767711637413713864754704044864517046534893746036014377058064164484245255674044323584411912663611472
