ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,5MA,10MA,30MA,MACD,MACDsignal,MACDhist
600559.SH,20130312,40.89,41.4,39.0,39.68,40.99,-1.31,-3.2,22088.86,88389.125,40.775999999999996,40.166000000000004,39.68,,,
600559.SH,20130313,39.7,42.43,39.5,42.34,39.68,2.66,6.7,42381.81,172357.333,40.775999999999996,40.166000000000004,42.34,,,
600559.SH,20130314,42.55,42.57,41.15,41.7,42.34,-0.64,-1.51,20992.59,88107.444,40.775999999999996,40.166000000000004,41.7,,,
600559.SH,20130315,41.3,41.7,40.24,40.79,41.7,-0.91,-2.18,21313.45,87424.23800000001,40.775999999999996,40.166000000000004,40.79,,,
600559.SH,20130318,40.8,41.3,37.5,39.37,40.79,-1.42,-3.48,36224.57,140572.404,40.775999999999996,40.166000000000004,39.37,,,
600559.SH,20130319,38.95,40.23,38.0,40.19,39.37,0.82,2.08,22047.83,85885.181,39.556,40.166000000000004,40.19,,,
600559.SH,20130320,39.89,40.7,39.31,40.43,40.19,0.24,0.6,13561.99,54445.724,39.556,40.166000000000004,40.43,,,
600559.SH,20130321,40.5,40.51,39.1,39.49,40.43,-0.94,-2.33,19068.76,75554.306,39.556,40.166000000000004,39.49,,,
600559.SH,20130322,39.18,39.99,38.98,39.43,39.49,-0.06,-0.15,14630.74,57789.920999999995,39.556,40.166000000000004,39.43,,,
600559.SH,20130325,39.16,39.52,37.9,38.24,39.43,-1.19,-3.02,29158.12,111678.17300000001,39.556,40.166000000000004,38.24,,,
600559.SH,20130326,38.06,38.16,36.9,37.06,38.24,-1.18,-3.09,34656.07,129656.481,33.912,32.539,30.815333333333335,,,
600559.SH,20130327,36.91,36.91,34.6,35.22,37.06,-1.84,-4.96,72905.75,259113.795,33.912,32.539,30.815333333333335,,,
600559.SH,20130328,34.91,34.91,32.98,33.51,35.22,-1.71,-4.86,66417.17,224444.327,33.912,32.539,30.815333333333335,,,
600559.SH,20130329,33.49,33.96,32.15,32.82,33.51,-0.69,-2.06,40103.02,131795.386,33.912,32.539,30.815333333333335,,,
600559.SH,20130401,32.6,32.99,30.82,30.95,32.82,-1.87,-5.7,80608.53,253077.671,33.912,32.539,30.815333333333335,,,
600559.SH,20130402,30.9,31.4,30.66,31.13,30.95,0.18,0.58,38266.09,118732.133,31.166000000000004,32.539,30.815333333333335,,,
600559.SH,20130403,31.24,31.46,29.88,30.0,31.13,-1.13,-3.63,50630.74,154840.316,31.166000000000004,32.539,30.815333333333335,,,
600559.SH,20130408,29.66,30.85,29.01,30.69,30.0,0.69,2.3,41431.32,125670.421,31.166000000000004,32.539,30.815333333333335,,,
600559.SH,20130409,30.6,31.5,30.5,31.23,30.69,0.54,1.76,42701.07,132889.199,31.166000000000004,32.539,30.815333333333335,,,
600559.SH,20130410,31.3,33.0,31.01,32.78,31.23,1.55,4.96,53549.48,173742.828,31.166000000000004,32.539,30.815333333333335,,,
600559.SH,20130411,32.69,32.7,31.68,31.83,32.78,-0.95,-2.9,33771.45,108368.86099999999,31.758000000000003,30.808,30.815333333333335,,,
600559.SH,20130412,31.7,33.29,31.4,32.66,31.83,0.83,2.61,35193.95,114832.82,31.758000000000003,30.808,30.815333333333335,,,
600559.SH,20130415,32.66,32.75,31.58,31.96,32.66,-0.7,-2.14,19879.36,63452.968,31.758000000000003,30.808,30.815333333333335,,,
600559.SH,20130416,31.21,31.5,30.56,30.88,31.96,-1.08,-3.38,20853.05,64464.829000000005,31.758000000000003,30.808,30.815333333333335,,,
600559.SH,20130417,30.8,31.89,30.6,31.46,30.88,0.58,1.88,16627.25,52252.555,31.758000000000003,30.808,30.815333333333335,,,
