trade_date,close£¨Y£©,change(X2),pct_chg(x3),vol(X4),MACD(X5),slowj(X6),score(X7),read(X8)
20150727,50.03,-5.56,-10,0.648319642,-4.184705518,29.90246149,0.480367659,0.10422191
20150728,49.8,-0.23,-0.46,0.839573997,-4.201044038,15.11077252,0.561390334,0.149918304
20150729,54.78,4.98,10,0.802809551,-3.768704769,42.72715102,0.468399617,0.248831898
20150730,51.8,-2.98,-5.44,0.49231877,-3.624750017,69.61316676,0.483741949,-0.274904374
20150731,55.6,3.8,7.34,1.008337806,-3.16752336,95.413944,0.360864174,0.130186986
20150803,57.78,2.18,3.92,1.217306678,-2.599297079,97.06949978,0.43956266,0.2749265
20150804,59.66,1.88,3.25,1.3166936,-1.97451242,115.9638083,0.59832265,0.089375619
20150805,59.45,-0.21,-0.35,0.808281332,-1.479259341,100.242697,0.509580622,0.004592833
20150806,65.4,5.95,10.01,2.130751543,-0.599739015,92.22520227,0.493105431,0.138639153
20150807,65,-0.4,-0.61,1.948718413,0.064269662,86.67402908,0.476445665,-0.06961395
20150810,66.81,1.81,2.78,1.07042726,0.728159427,99.00189674,0.306513809,-0.236617761
20150811,65.7,-1.11,-1.66,0.841453104,1.151455859,84.69511951,0.512056544,0.092077188
20150812,61.99,-3.71,-5.65,0.59027812,1.174021942,65.78218544,0.569764542,-0.015148766
20150813,63.84,1.85,2.98,0.237873176,1.325901103,53.49458144,0.512156356,0.361689203
20150814,63.75,-0.09,-0.14,0.260914863,1.422605275,49.62561681,0.455048393,-0.455802554
20150817,64.2,0.45,0.71,0.055252173,1.518056063,59.04013742,0.405193071,0.016597748
20150818,57.78,-6.42,-10,0.571625207,1.063402907,15.91741179,0.320154652,-0.447529257
20150819,58.48,0.7,1.21,0.527508551,0.750915074,10.01133731,0.609709115,0.214558574
20150820,54.4,-4.08,-6.98,0.073556134,0.172060902,-8.074293276,0.337543478,-0.405469906
20150821,49.8,-4.6,-8.46,0.523191006,-0.650369699,5.199518159,0.275728676,-0.10351514
20150824,44.82,-4.98,-10,0.482528121,-1.684577496,-13.03132007,0.398179349,-0.340922156
20150825,40.34,-4.48,-10,0.806305928,-2.833035712,-14.0686046,0.414326049,0.017366688
20150826,44.37,4.03,9.99,1.196989258,-3.379058124,9.720764549,0.350341129,-0.189313584
20150827,48.81,4.44,10.01,0.885263084,-3.414157642,36.65367545,0.531099879,-0.00252911
20150828,51.01,2.2,4.51,1.059991738,-3.22725091,60.97464822,0.454870874,-0.113104269
20150831,49.85,-1.16,-2.27,0.626331427,-3.136571836,69.05117955,0.518139142,-0.453292192
20150901,49.59,-0.26,-0.52,0.77643645,-3.050523309,67.10396838,0.454215403,0.259483973
20150902,45.8,-3.79,-7.64,0.273326036,-3.250678757,52.09157855,0.394143122,-0.265557851
20150907,47.69,1.89,4.13,0.215021849,-3.2196817,56.25771794,0.354075825,-0.197656784
20150908,51.8,4.11,8.62,0.376726639,-2.830841479,83.62763293,0.589718217,0.06545214
20150909,55.5,3.7,7.14,0.979565232,-2.198777585,115.9570512,0.485288745,-0.355065299
20150910,52.7,-2.8,-5.05,0.264116972,-1.90187536,102.1212844,0.469936046,-0.162803672
20150911,52.85,0.15,0.28,-0.079341821,-1.635620051,70.97841578,0.286439929,-0.401248962
20150914,47.85,-5,-9.46,0.25302723,-1.807236319,17.02198641,0.356301456,-0.432456807
20150915,47.15,-0.7,-1.46,-0.042901011,-1.976938679,-2.256241875,0.523382036,-0.213158936
20150916,51.87,4.72,10.01,0.26801566,-1.710842936,17.13251502,0.480167013,-0.476522803
20150917,52.85,0.98,1.89,1.145572759,-1.404689941,64.22986941,0.528460013,-0.189846085
20150918,55.18,2.33,4.41,0.674800539,-0.962949676,109.6882692,0.519520985,-0.164773309
20150921,56.07,0.89,1.61,0.394530834,-0.534885938,111.2067172,0.292658385,-0.380244986
20150922,55.24,-0.83,-1.48,0.070277087,-0.259623626,103.4969182,0.371061099,-0.415120715
20150923,59.01,3.77,6.82,1.092282033,0.259737144,94.42190879,0.383590232,-0.243063284
20150924,57.8,-1.21,-2.05,0.479730225,0.567159546,79.00596878,0.60715846,-0.450707815
