trade_date,close,change,30MA,MACD,slowj,score,n_vol,n_amount,Go
20170103,49.83,0.15,49.21266667,-1.227818018,35.92290022,0.44565,-0.611891365,-0.526619001,0
20170104,50.8,0.97,49.21266667,-1.087233789,72.74273321,0.459434483,-0.172013671,-0.173967616,0
20170105,50.43,-0.37,49.21266667,-0.99421499,79.62575883,0.355446875,-0.589868558,-0.50493446,1
20170106,49.8,-0.63,49.21266667,-0.960263339,66.35377383,0.351366667,-0.56411465,-0.488032684,1
20170109,49.91,0.11,49.21266667,-0.913944942,38.79376241,0.38947037,-0.678686799,-0.579181925,0
20170110,49.65,-0.26,49.21266667,-0.887981013,21.94650193,0.339916667,-0.708551607,-0.603479859,1
20170111,49.43,-0.22,49.21266667,-0.875069319,18.25528007,0.472890625,-0.773420743,-0.655168427,1
20170112,48.96,-0.47,49.21266667,-0.892473898,-5.699395455,0.5298,-0.640758534,-0.553637948,1
20170113,48.91,-0.05,49.21266667,-0.899927925,-12.58436242,0.52860625,-0.680471563,-0.585421355,1
20170116,47.76,-1.15,49.21266667,-0.987250277,8.983730673,0.352918519,-0.534171187,-0.479325303,1
20170117,48.2,0.44,49.21266667,-1.009314795,42.49405928,0.510137209,-0.729479234,-0.628494439,0
20170118,48.11,-0.09,49.21266667,-1.022279135,59.06055912,0.5532,-0.793880471,-0.676191777,1
20170119,48.1,-0.01,49.21266667,-1.021584197,55.59815164,0.627765217,-0.84828493,-0.717667837,1
20170120,48.58,0.48,49.21266667,-0.971107147,59.59648435,0.441328,-0.764002073,-0.652358556,0
20170123,48.86,0.28,49.21266667,-0.89815667,76.60155521,0.496645455,-0.776246908,-0.659746144,0
20170124,48.65,-0.21,49.21266667,-0.847518471,82.22387486,0.461225,-0.754423445,-0.644241482,1
20170125,48.9,0.25,49.21266667,-0.778243318,90.15291208,0.25322,-0.704035915,-0.604679511,0
20170126,48.68,-0.22,49.21266667,-0.732648902,85.33746932,0.463511111,-0.604733075,-0.529599241,1
20170203,48.35,-0.33,49.21266667,-0.714902291,61.47678551,0.6205125,-0.713099429,-0.613819914,1
20170206,48.67,0.32,49.21266667,-0.667324152,40.08816914,0.6808,-0.640163498,-0.557143437,0
20170207,49.34,0.67,49.21266667,-0.568995704,46.02486,0.563145,-0.110156224,-0.141348454,0
20170208,50.5,1.16,49.21266667,-0.392937853,89.02729092,0.4351625,-0.191353112,-0.203730648,0
20170209,49.98,-0.52,49.21266667,-0.292004347,91.99091811,0.477890476,-0.228819351,-0.223660892,1
20170210,49.63,-0.35,49.21266667,-0.237517933,64.7866929,0.339194737,-0.492883101,-0.434675668,1
20170213,49.73,0.1,49.21266667,-0.184145182,40.72722439,0.3864,-0.471557824,-0.41770884,0
20170214,49.54,-0.19,49.21266667,-0.155387098,38.16721431,0.358296296,-0.560567002,-0.488856396,1
20170215,48.75,-0.79,49.21266667,-0.194104986,21.73136992,0.421648148,-0.196116861,-0.211365831,1
20170216,48.9,0.15,49.832,-0.210261679,5.36033021,0.4301,-0.624283837,-0.542721283,0
20170217,48.56,-0.34,49.832,-0.247646419,-14.48110449,0.351905263,-0.611045278,-0.534220855,1
20170220,49.16,0.6,49.832,-0.226251028,12.82620905,0.313542857,-0.627686498,-0.545643669,0
20170221,50.04,0.88,49.832,-0.136710468,65.52633383,0.342138095,0.186626484,0.101255359,0
20170222,49.97,-0.07,49.832,-0.0705837,112.4850794,0.390655556,-0.490112329,-0.431373395,1
20170223,50.31,0.34,49.832,0.009151902,133.1058368,0.379211111,-0.381625631,-0.344798512,0
20170224,50.22,-0.09,49.832,0.064339033,109.8098767,0.421975,-0.648770628,-0.554703569,1
20170227,50.27,0.05,49.832,0.110832209,73.20292604,0.451804348,0.120358948,0.066307484,0
20170228,50.11,-0.16,49.832,0.133231909,43.66067909,0.576548387,-0.482931697,-0.422370237,1
20170301,50.19,0.08,49.832,0.155644985,31.70687135,0.582416,-0.473148082,-0.415809396,0
20170302,49.75,-0.44,49.832,0.13633164,33.76670844,0.493221429,-0.512930783,-0.44896928,1
20170303,51.01,1.26,49.832,0.220159286,63.69111361,0.527655556,0.279114674,0.185736597,0
20170306,50.9,-0.11,49.832,0.27455235,68.70691566,0.473577273,-0.177814559,-0.17219803,1
20170307,51,0.1,49.832,0.322016405,84.6569148,0.593592308,-0.485216145,-0.418527176,0
20170308,50.84,-0.16,49.832,0.342770107,63.93767788,0.403016667,-0.450445594,-0.389832282,1
20170309,50.17,-0.67,49.832,0.301676624,31.27135227,0.4298,-0.506130989,-0.441042224,1
20170310,50.19,0.02,49.832,0.267638407,10.35485748,0.515768421,-0.450908541,-0.398536958,0
20170313,49.84,-0.35,49.832,0.21000005,4.800917846,0.412241667,-0.301193066,-0.285739115,1
20170314,49.76,-0.08,49.832,0.156066864,22.27393187,0.322721739,-0.562544661,-0.488425949,1
20170315,49.47,-0.29,49.832,0.088899076,21.94258582,0.432134783,-0.614032092,-0.53124096,1
20170316,50.02,0.55,49.832,0.079136289,30.32519555,0.423642308,-0.481497252,-0.424507683,0
20170317,49.49,-0.53,49.832,0.028306342,25.1172682,0.474526316,-0.384651255,-0.348859799,1
20170320,49.19,-0.3,49.832,-0.035771894,17.375134,0.4044,-0.441085426,-0.399858965,1
20170321,49.3,0.11,49.832,-0.076793055,3.740496657,0.360663158,-0.602510007,-0.524325487,0
20170322,48.9,-0.4,49.832,-0.139965838,-1.059156534,0.565357692,-0.599912782,-0.524177063,1
20170323,49.45,0.55,49.832,-0.143990488,34.51051895,0.48648125,-0.4067184,-0.370905616,0
20170324,49.65,0.2,49.832,-0.12954837,61.29325624,0.538377778,-0.572439521,-0.498142388,0
20170327,49.6,-0.05,49.832,-0.12074559,82.24786584,0.485414286,-0.62680448,-0.539102679,1
20170328,49.9,0.3,49.832,-0.088541183,86.21402301,0.63627619,-0.599071762,-0.517349477,0
